traversalTime,transError.std.mean
1349.09985599,0.610577304348
919.718726924,0.3833542
419.663612797,0.198447578947
211.703543676,0.12269
265.490773911,0.153758035714
1173.06783952,0.492268548387
1490.99507567,0.531760416667
841.175649661,0.440496478261
512.459790786,0.30601326087
183.023661923,0.133319189189
288.952643527,0.194677542857
191.014634059,0.11035772
162.313862645,0.139761666667
384.763332574,0.178345722222
546.868433022,0.2198439
384.284799509,0.243437428571
1093.28515564,0.273808166667
823.369821087,0.338521882353
1603.67256076,0.61062825
726.421235223,0.359939652174
1455.54715772,0.588087103448
1342.9430314,0.628137071429
608.712541442,0.443055071429
1371.34741951,0.999427916667
550.763056801,0.398797941176
1001.59400158,0.690604043478
498.802202458,0.404276533333
951.22385554,0.493052294118
633.149187702,0.232889238095
808.608614515,0.221677130435
897.190026783,0.341540409091
1578.35836762,0.65674012
918.534020399,0.423536259259
1008.03211816,0.4465398
870.931728251,0.306929823529
1371.33686714,0.480697125
274.928270325,0.108247869565
658.752298095,0.1948145
750.178214424,0.405104185185
510.678711028,0.273577115385
1567.27616653,0.694026083333
1367.57529848,0.480950272727
492.886623007,0.326498583333
740.557101864,0.4142652
1069.35769226,0.500458896552
1006.22432177,0.625794366667
520.067365763,0.379335257143
717.088483789,0.487031439024
354.772213719,0.309707785714
1193.67522752,0.515047357143
439.245777626,0.218116833333
431.491340742,0.219631666667
425.603880936,0.310407555556
1025.57459113,0.50208644
589.758911653,0.3024675
656.952316561,0.464581966667
754.01694709,0.379500214286
699.590611899,0.286365322581
484.299613589,0.206892133333
339.901939934,0.171382926829
205.223499199,0.324577269231
609.45010448,0.287927933333
1187.28583886,0.50571615625
639.103357547,0.224714148148
874.938568522,0.500257916667
285.340344762,0.153626448276
870.904226907,0.398803653846
731.103227949,0.389266045455
618.684245989,0.203370592593
2080.31115619,0.525956928571
786.534337607,0.304974964286
653.648966259,0.17280424
1138.67499527,0.366907921053
2035.82864252,0.741109166667
