totalLength,rotError.std.mean
3674.54685049,0.0136865652174
2587.25446388,0.00848306666667
409.860183458,0.00990715789474
252.832909534,0.00666489285714
326.784256607,0.00854714285714
1921.35516902,0.0155064516129
2116.13492361,0.0139629166667
863.659269329,0.0146126956522
845.090021745,0.00927660869565
295.419139725,0.00886394594595
506.321896435,0.0103236571429
273.457946693,0.00831244
192.066214539,0.0120980666667
468.518403292,0.00897186111111
580.535894357,0.0070672
971.378772283,0.00862697142857
1560.66008532,0.0111955416667
1049.93660782,0.0146358235294
3024.90660293,0.0165645
1742.8522031,0.00871552173913
3575.26025392,0.0142774482759
4286.82971454,0.0177865357143
711.361982324,0.0435829285714
4268.08811365,0.01847425
2215.28095863,0.0134678235294
2674.03601278,0.0117434782609
889.381270016,0.0171069
994.439580994,0.0210941176471
566.001197687,0.00869485714286
713.219408102,0.00991634782609
1004.70151857,0.0162976363636
2298.96506651,0.01273672
1290.05514031,0.0216128148148
1093.26611061,0.0267318666667
1073.65959346,0.014787
2379.8461839,0.01558596875
207.214315708,0.00887017391304
771.205630617,0.0132185
1344.58232881,0.0158112592593
876.168728003,0.0110901538462
3949.82841384,0.016004875
1857.94252615,0.0116140454545
888.639718829,0.0131456666667
1481.43084603,0.012016
2298.11261206,0.0138605172414
2193.73950998,0.0208444333333
786.593346386,0.0209096857143
2003.81513074,0.0136826097561
637.726898906,0.0140931785714
3079.17730674,0.0134039285714
500.537324732,0.0124418666667
616.55068905,0.0149295555556
1035.09066139,0.0113095
2396.14078511,0.01085984
577.123513651,0.0133554761905
1415.71363081,0.0143581333333
1392.02208715,0.00947095238095
972.933103525,0.0113865483871
489.59582335,0.0149370666667
382.17641299,0.0114615121951
1749.99175816,0.00805719230769
916.588301973,0.0116139666667
2114.07410152,0.01513984375
891.481124196,0.0103575555556
2342.27101469,0.0177405833333
330.137152444,0.0105403103448
1479.91948991,0.0159079615385
1173.44602032,0.0123346818182
602.963843177,0.00975977777778
3519.11086095,0.0120594285714
1016.39541288,0.0112861428571
693.217716208,0.00749868
2034.8306002,0.00801097368421
2694.36835452,0.0182204166667
