voronoi_avg_katz_centrality,rotError.std.std
0.00183164127162,0.00570813314798
0.000837312826764,0.00238204213415
0.00394092941488,0.00443794731193
0.00145841446799,0.00221181244909
0.0146319223525,0.00124875791759
0.0107227141849,0.00692890029398
0.00212796668099,0.00526352379524
0.000985497287792,0.00916339305052
0.00675703959429,0.00109827381314
0.00394697265736,0.001820392131
0.00313283454443,0.0115835540733
0.00463081790692,0.00242628577179
0.014956869664,0.00881799279479
0.00721128299575,0.00156947572306
0.00749939520562,0.00133593491358
0.0099007638193,0.0033034977955
0.00567615536378,0.00427790386373
0.00522130790338,0.010818340273
0.00425521588337,0.0073614093577
0.021034321157,0.0020421627691
0.00237931914125,0.00882900353326
0.00620759969978,0.0056069691509
0.0136513798415,0.00964521917124
0.00183923477374,0.0102373131119
0.00819877290375,0.00694223066048
0.0115555452936,0.00719629727175
0.018545199377,0.00729724936466
0.00263691501963,0.00941862106525
0.00677245448604,0.00165015637774
0.005195100978,0.00327309840264
0.00473407332978,0.00344135860057
0.0125305043955,0.00431503222254
0.000137398924846,0.00820748297377
0.000464141250352,0.038374045582
0.00349157537483,0.00800000789555
0.00172767015839,0.00653686665775
0.000428806088121,0.0030003076901
0.00507480131819,0.00533292057631
0.00414675006167,0.00671912860422
0.0118453240216,0.00480609803905
0.00305737359108,0.00899802736477
0.00165416922011,0.00879950207474
0.00368457372095,0.0034406223505
0.00813047107868,0.00161564506
0.00470260844059,0.00646094092521
0.00337661950533,0.00512121237682
0.00454144763295,0.00772600753931
0.00687453878969,0.00810460207062
0.00612971140873,0.00596216482169
0.00267346179467,0.00468461053166
0.00264952251783,0.00290363576381
0.00304978048946,0.00727200671353
0.00683271156337,0.00593740494427
0.00269504009836,0.0031691424541
0.0132370052728,0.00360718859354
0.00593057110261,0.00760278416857
0.00819487385135,0.00281495176744
0.00445588535513,0.00295568783369
0.00310224192568,0.00587875703598
0.00668719690136,0.00492444947089
0.061080293104,0.00274550707465
0.0106672029474,0.00668196581096
0.00276541182543,0.00693703706243
0.00822004045619,0.00651974844058
0.000254586441506,0.0105001485137
0.00175031397817,0.00348419817228
0.00249469745735,0.00672065780498
0.00541741932639,0.00427584456832
0.00457633157256,0.0034764729288
0.00330166049308,0.218382402573
0.00770788343339,0.0062202472559
0.00232036210858,0.00201918335413
9.65147538731e-05,0.00303309851547
0.00195573996648,0.00630615992045

5-Fold RMSE:,0.00520852160284,0.00494954625927,0.00836107456621,0.0548252755377,0.0548252755377
Average 5-Fold RMSE:,0.016837411806

5-Fold rsquared:,-1.95272565378,-0.0553292680891,0.0135995248922,-2.92868730534,-2.92868730534
Average 5-Fold rsquared:,-1.20288572653
