voronoi_nodes,rotError.std.mean
256,0.0134886818182
246,0.00848306666667
175,0.00990715789474
60,0.00666489285714
93,0.00854714285714
223,0.0154531111111
395,0.0139629166667
291,0.0142382727273
163,0.00927660869565
113,0.00886394594595
105,0.0103236571429
81,0.00831244
81,0.0120980666667
115,0.00902981081081
85,0.0070672
70,0.00862697142857
228,0.0107663448276
289,0.0146358235294
278,0.0153069130435
156,0.00836128571429
431,0.0141560606061
244,0.0130143076923
201,0.0213154358974
337,0.0118386923077
140,0.0129007
154,0.0117434782609
85,0.0171069
250,0.0201348076923
221,0.00883107692308
285,0.00979857575758
283,0.0108434193548
190,0.01273672
530,0.0201676538462
427,0.0242387692308
301,0.0134642666667
350,0.0164263142857
76,0.008347
215,0.0136369583333
230,0.0145126
105,0.0110901538462
316,0.0162626538462
295,0.0139900769231
129,0.0113885652174
211,0.00808025641026
278,0.0127977692308
301,0.0142507037037
189,0.0175852258065
229,0.0131790810811
174,0.0140931785714
272,0.013008
143,0.0124418666667
183,0.01217428
146,0.0113095
263,0.01085984
170,0.013217275
250,0.0138498148148
159,0.00906033333333
191,0.0113865483871
172,0.01360234375
166,0.0114615121951
22,0.00809121428571
124,0.0116139666667
253,0.0140091666667
146,0.0103575555556
243,0.0173899090909
126,0.0105403103448
229,0.0152154583333
281,0.00999909375
215,0.00975977777778
462,0.0581752916667
194,0.00897219230769
246,0.00749868
222,0.00801097368421
640,0.0207175

5-Fold RMSE:,0.00267089497849,0.00385609547785,0.0110443292289,0.00273507319634,0.00273507319634
Average 5-Fold RMSE:,0.00483368351665

5-Fold rsquared:,-0.441469642201,-0.0808115920427,0.0746538123585,-0.748778999067,-0.748778999067
Average 5-Fold rsquared:,-0.149217723833
