wallRatio,transError.mean.mean
95.5085578123,0.494097045455
58.5,0.347489733333
259.861982598,0.178033842105
79.1568064035,0.111519571429
156.077544829,0.135674892857
254.000492126,0.500454518519
107.75,0.483538
85.0,0.314663090909
150.372087523,0.266804521739
116.372247551,0.136014027027
79.9034139168,0.1602634
152.105884173,0.11330008
140.405128111,0.120517266667
70.2032762768,0.168670918919
111.803398875,0.1753349
52.3333333333,0.250973828571
159.476547589,0.255138206897
107.12901101,0.275744352941
75.0,0.550894956522
85.5,0.348672047619
82.2192191644,0.556707151515
85.6692606611,0.560622653846
146.017550315,0.375646230769
42.5,0.493396230769
40.7940417972,0.349249866667
116.833333333,0.511895521739
54.6829244118,0.3828526
195.799193881,0.376691423077
52.3630080819,0.2061935
72.7590861363,0.234490727273
137.333434466,0.250467741935
195.0,0.63580396
57.795023193,0.298866
62.8,0.263492076923
64.1950153828,0.279235933333
47.3333333333,0.469986628571
134.713399482,0.0827919117647
75.894663844,0.224303125
64.2505870093,0.36068872
64.8333333333,0.297397730769
113.5,0.687380423077
59.6003355695,0.594765692308
116.659635642,0.276685391304
75.5,0.26799774359
61.75,0.394348115385
119.221642331,0.407328592593
100.215345056,0.301939870968
113.84243497,0.337777675676
100.762716319,0.301987178571
108.5,0.381142583333
61.0,0.2053401
69.3375245282,0.16422708
162.786363065,0.273704222222
60.9924333264,0.42013416
276.335142736,0.315128875
125.858650875,0.391206259259
136.792027631,0.319272923077
170.018165119,0.283932129032
186.752431278,0.19405875
94.2,0.191225219512
121.115647214,0.287816464286
125.858650875,0.3031
69.0004528971,0.4451378
60.5556574923,0.236201074074
54.7144722115,0.513622636364
76.8259771772,0.154262137931
56.5108006335,0.395215916667
185.4,0.2822633125
39.8571428571,0.189719777778
68.2,0.513207166667
88.2524787187,0.240103076923
103.815447111,0.17891308
359.666821131,0.367190842105
82.25,0.626637846154

5-Fold RMSE:,0.133063205069,0.118290909489,0.141937080859,0.159277379381,0.159277379381
Average 5-Fold RMSE:,0.139637014444

5-Fold rsquared:,-0.487049866922,-0.065913772576,-0.0587113580113,-0.0576305677361,-0.0576305677361
Average 5-Fold rsquared:,-0.146130351165
