std_eigenvector_centrality,rotError.mean.std
0.061688422116,0.00331315133626
0.0628848579041,0.000529720236435
0.0735873626594,0.00274200687267
0.122421627337,0.000868010041646
0.100010706049,0.000988470995105
0.0665140899304,0.00429956664055
0.0499869171086,0.00305267434636
0.0583048887054,0.00325076749757
0.0772599538281,0.00162224709611
0.092355006202,0.00122251686463
0.0942375781658,0.00481593435646
0.107306514034,0.00139556645188
0.107707055274,0.00295561424787
0.0906409739223,0.00086073843683
0.104297507721,0.00087903722649
0.115439442184,0.00234359606884
0.0650409083878,0.00188456667166
0.0583229555488,0.00475371639426
0.0594842394656,0.00397965134483
0.0788215763143,0.00194485015484
0.0480134270942,0.0029966941151
0.0633224148962,0.00728678377751
0.0695045297866,0.0240067761271
0.0539293297254,0.00627694262703
0.0795172592942,0.00364257671701
0.0794001997108,0.00193137045088
0.103601683322,0.00350567334933
0.0621418524861,0.011540864302
0.0664741323194,0.00169851493892
0.0586477113224,0.00387832424544
0.0588844988291,0.018982936371
0.0718074587629,0.00268365863701
0.0433166383751,0.00951347370549
0.0480981747221,0.0113683540574
0.0571208297746,0.0102189055546
0.0527148108833,0.00279617073466
0.108039224395,0.00119649202124
0.0670363744304,0.00356308331189
0.064562611159,0.00435481252733
0.095602752891,0.00284573492967
0.0559140808964,0.00405173873492
0.057696329759,0.00258198449888
0.0863325328339,0.00935193660277
0.0684244190537,0.00120964368307
0.0595416486538,0.00544625576124
0.0570370754118,0.0122018643728
0.0701124270704,0.00687929093309
0.0655147896749,0.00319700990545
0.0741480740915,0.00317220657184
0.0598781678858,0.00270284127902
0.0814587853061,0.00283126115696
0.0716576654504,0.00237693489734
0.0817727657324,0.00169591170353
0.0609360751897,0.00167382816322
0.0756944120562,0.00464877681209
0.0625710750276,0.00631663664558
0.0778171239841,0.00267358431567
0.071506866971,0.00290650421563
0.0754874067928,0.00632801513764
0.0768360610148,0.00633767378436
0.183177866246,0.000912842598408
0.0882860014571,0.00296056940863
0.0623255741929,0.00514108200771
0.0811425974437,0.0018376947053
0.063736397957,0.00559589829449
0.0876523795269,0.0018378217927
0.0655788298353,0.00470429841354
0.0585601819606,0.00708596426669
0.0666331321729,0.00290145318257
0.046391247244,0.00205404963873
0.0702204048489,0.0102512932546
0.0626679442345,0.00140772643706
0.0665682795308,0.00163527502515
0.0393741635952,0.0038489765622
