std_eigenvector_centrality,transError.std.mean
0.061688422116,0.610577304348
0.0628848579041,0.3833542
0.0735873626594,0.198447578947
0.122421627337,0.12269
0.100010706049,0.153758035714
0.0665140899304,0.492268548387
0.0499869171086,0.531760416667
0.0583048887054,0.440496478261
0.0772599538281,0.30601326087
0.092355006202,0.133319189189
0.0942375781658,0.194677542857
0.107306514034,0.11035772
0.107707055274,0.139761666667
0.0906409739223,0.178345722222
0.104297507721,0.2198439
0.115439442184,0.243437428571
0.0650409083878,0.273808166667
0.0583229555488,0.338521882353
0.0594842394656,0.61062825
0.0788215763143,0.359939652174
0.0480134270942,0.588087103448
0.0633224148962,0.628137071429
0.0695045297866,0.443055071429
0.0539293297254,0.999427916667
0.0795172592942,0.398797941176
0.0794001997108,0.690604043478
0.103601683322,0.404276533333
0.0621418524861,0.493052294118
0.0664741323194,0.232889238095
0.0586477113224,0.221677130435
0.0588844988291,0.341540409091
0.0718074587629,0.65674012
0.0433166383751,0.423536259259
0.0480981747221,0.4465398
0.0571208297746,0.306929823529
0.0527148108833,0.480697125
0.108039224395,0.108247869565
0.0670363744304,0.1948145
0.064562611159,0.405104185185
0.095602752891,0.273577115385
0.0559140808964,0.694026083333
0.057696329759,0.480950272727
0.0863325328339,0.326498583333
0.0684244190537,0.4142652
0.0595416486538,0.500458896552
0.0570370754118,0.625794366667
0.0701124270704,0.379335257143
0.0655147896749,0.487031439024
0.0741480740915,0.309707785714
0.0598781678858,0.515047357143
0.0814587853061,0.218116833333
0.0716576654504,0.219631666667
0.0817727657324,0.310407555556
0.0609360751897,0.50208644
0.0756944120562,0.3024675
0.0625710750276,0.464581966667
0.0778171239841,0.379500214286
0.071506866971,0.286365322581
0.0754874067928,0.206892133333
0.0768360610148,0.171382926829
0.183177866246,0.324577269231
0.0882860014571,0.287927933333
0.0623255741929,0.50571615625
0.0811425974437,0.224714148148
0.063736397957,0.500257916667
0.0876523795269,0.153626448276
0.0655788298353,0.398803653846
0.0585601819606,0.389266045455
0.0666331321729,0.203370592593
0.046391247244,0.525956928571
0.0702204048489,0.304974964286
0.0626679442345,0.17280424
0.0665682795308,0.366907921053
0.0393741635952,0.741109166667
