diameter,transError.std.std
28,0.197657005465
36,0.0888341978949
29,0.0536568207547
11,0.0531756045959
22,0.0388866547706
26,0.207135681695
39,0.204774691356
38,0.258492090208
39,0.0429963941514
31,0.0500640527086
27,0.160692173355
19,0.0364422115207
19,0.115579807708
26,0.0370592039719
16,0.0491585794691
20,0.0890782760547
39,0.092571482715
38,0.138087316178
41,0.283472780901
24,0.155756377989
51,0.273444335576
44,0.301796672041
21,0.15137538147
31,1.09223982879
18,0.167680135625
27,0.390698889866
16,0.145785206544
45,0.23374692862
43,0.0547581142166
37,0.0669920319093
30,0.391347667119
36,0.258741211908
44,0.35561401166
55,0.382246016935
38,0.155138806672
41,0.177945288381
15,0.0530782981644
28,0.0549553057413
31,0.21615872905
24,0.0819226964463
39,0.293317732168
51,0.127652611947
34,0.221674636893
43,0.0853392946102
34,0.357301613152
40,0.453233740742
28,0.179230997901
40,0.236587447923
24,0.110170635227
31,0.188751485919
31,0.0621497895481
23,0.0834510200204
33,0.126944549297
45,0.109794391941
26,0.107098494917
31,0.151433371273
27,0.185990376251
46,0.064450068138
30,0.0378693543451
28,0.075847820682
8,0.117333490955
31,0.129796983767
38,0.239664370415
28,0.105334107197
31,0.149483092715
25,0.0596299714663
32,0.141523549212
27,0.294155507688
35,0.0743403423368
49,0.198682666526
30,0.355724934863
35,0.0562958637779
29,0.116143743091
52,0.177137692319
