topology_avg_shortest_path_length,rotError.numSamples.mean
3.64146341463,4854.31818182
2.80666666667,2208.2
2.88461538462,533.736842105
2.95555555556,281.035714286
1.81818181818,375.75
2.93524514339,2982.96296296
2.42674253201,4729.04166667
3.34420289855,2494.54545455
3.15789473684,1109.95652174
2.8380952381,244.540540541
3.17647058824,830.8
2.67619047619,180.0
2.5,450.733333333
1.84166666667,456.135135135
2.20952380952,628.1
1.875,954.971428571
3.83333333333,914.034482759
1.33333333333,2059.76470588
3.01572617946,8438.2173913
2.42105263158,1611.28571429
2.41971207087,6025.96969697
2.11076923077,4245.57692308
2.2315270936,2369.74358974
3.30837789661,11003.8461538
2.26900584795,2018.0
2.45789473684,8121.34782609
1.89473684211,2459.1
3.25057471264,2825.15384615
5.47297297297,898.038461538
3.16516516517,845.545454545
3.05378151261,908.161290323
2.96666666667,6648.12
3.94674859191,2004.73076923
3.25314009662,1650.23076923
3.77570921986,1444.0
3.70512820513,4167.25714286
2.37179487179,160.676470588
3.66794871795,1054.375
3.36088709677,1731.48
2.48529411765,1206.76923077
3.90592334495,6763.84615385
3.395256917,4317.96153846
2.68095238095,1501.82608696
4.77874396135,1183.46153846
2.55632183908,4219.69230769
3.71025641026,3851.77777778
3.34757834758,2071.29032258
2.76608187135,3696.67567568
2.28333333333,1492.89285714
3.73504273504,3379.41666667
2.64761904762,655.766666667
2.37368421053,619.76
3.44268774704,1611.27777778
3.92745376956,3842.36
2.52536231884,1278.8
3.04,2906.77777778
3.25789473684,1697.56410256
4.3908045977,1119.77419355
2.94805194805,581.0
2.59166666667,510.341463415
2.97076023392,1266.60714286
3.07352941176,1420.46666667
3.49411764706,3455.96666667
3.01904761905,754.666666667
2.4183908046,2924.18181818
1.85833333333,407.793103448
2.83333333333,2267.29166667
2.65378151261,1168.5
2.55,609.074074074
2.80139372822,4291.20833333
2.57608695652,1209.07692308
2.34502923977,461.08
2.6091954023,1971.81578947
3.14957983193,8361.53846154

5-Fold RMSE:,2236.62436195,1428.3988765,1756.94819195,2143.81695444,2143.81695444
Average 5-Fold RMSE:,2197.47705232

5-Fold rsquared:,0.0249336410141,-0.00111005494529,-0.467200497138,0.0252460676962,0.0252460676962
Average 5-Fold rsquared:,-0.0872457533111
