voronoi_numBifurcationPoints,transError.numSamples.mean
131,4854.31818182
162,2208.2
88,533.736842105
28,281.035714286
44,375.75
93,2982.96296296
197,4729.04166667
146,2494.54545455
85,1109.95652174
52,244.540540541
48,830.8
39,180.0
38,450.733333333
52,456.135135135
41,628.1
32,954.971428571
114,914.034482759
145,2059.76470588
119,8438.2173913
68,1611.28571429
195,6025.96969697
107,4245.57692308
98,2369.74358974
126,11003.8461538
66,2018.0
58,8121.34782609
41,2459.1
125,2825.15384615
107,898.038461538
145,845.545454545
141,908.161290323
92,6648.12
268,2004.73076923
214,1650.23076923
145,1444.0
178,4167.25714286
36,160.676470588
104,1054.375
117,1731.48
49,1206.76923077
160,6763.84615385
159,4317.96153846
62,1501.82608696
102,1183.46153846
137,4219.69230769
155,3851.77777778
94,2071.29032258
135,3696.67567568
84,1492.89285714
144,3379.41666667
67,655.766666667
90,619.76
71,1611.27777778
126,3842.36
81,1278.8
134,2906.77777778
82,1697.56410256
94,1119.77419355
80,581.0
74,510.341463415
13,1266.60714286
58,1420.46666667
123,3455.96666667
65,754.666666667
121,2924.18181818
60,407.793103448
111,2267.29166667
148,1168.5
101,609.074074074
228,4291.20833333
93,1209.07692308
119,461.08
112,1971.81578947
324,8361.53846154

5-Fold RMSE:,1276.86318907,1670.82007715,2296.26268129,3127.24632705,3127.24632705
Average 5-Fold RMSE:,1915.85889402

5-Fold rsquared:,0.115493922238,-0.103867787124,0.446693138544,0.602763990649,0.602763990649
Average 5-Fold rsquared:,0.213454715319
