topology_numBifurcationPoints,transError.mean.mean
20,0.616674277778
8,0.513207166667
12,0.511799
8,0.347489733333
3,0.178033842105
2,0.111519571429
1,0.135674892857
14,0.567853258065
4,0.483538
5,0.364766782609
5,0.266804521739
3,0.136014027027
5,0.1602634
2,0.11330008
9,0.120517266667
3,0.168592444444
4,0.1753349
1,0.250973828571
9,0.255138206897
0,0.275744352941
17,0.572332
4,0.401876478261
6,0.667381558824
5,0.601016714286
9,0.428635214286
12,0.534300857143
1,0.392818764706
2,0.511895521739
1,0.3828526
8,0.480142294118
12,0.200632047619
10,0.214672086957
7,0.310588818182
3,0.63580396
28,0.357241074074
10,0.322165133333
15,0.302912058824
14,0.44758759375
3,0.0879599565217
10,0.224303125
9,0.388622
3,0.297397730769
15,0.663971375
5,0.551063954545
5,0.31300125
22,0.4318884
3,0.465919793103
13,0.471419
5,0.317696542857
3,0.366169390244
3,0.301987178571
12,0.381142583333
3,0.2053401
4,0.189486166667
7,0.273704222222
9,0.42013416
4,0.323464547619
5,0.429869033333
3,0.367336428571
7,0.283932129032
4,0.19405875
3,0.191225219512
3,0.285231925926
5,0.3031
7,0.475740875
4,0.236201074074
6,0.54542925
1,0.154262137931
3,0.423788730769
11,0.337108057143
3,0.189719777778
5,0.29107
4,0.17891308
5,0.367190842105

5-Fold RMSE:,0.123612741088,0.139413143182,0.169119554224,0.109144371355,0.109144371355
Average 5-Fold RMSE:,0.140344085146

5-Fold rsquared:,0.189900292388,-0.171248388005,-0.159738066882,0.147631124864,0.147631124864
Average 5-Fold rsquared:,0.0556541873177
