totalLength,rotError.std.std
2976.70696807,0.00568699616952
3339.01465467,0.218382402573
3674.54685049,0.00580885788305
2587.25446388,0.00238204213415
409.860183458,0.00443794731193
252.832909534,0.00221181244909
326.784256607,0.00124875791759
1921.35516902,0.00670812510145
2116.13492361,0.00526352379524
863.659269329,0.00913242766636
845.090021745,0.00109827381314
295.419139725,0.001820392131
506.321896435,0.0115835540733
273.457946693,0.00242628577179
192.066214539,0.00881799279479
468.518403292,0.00155158807808
580.535894357,0.00133593491358
971.378772283,0.0033034977955
1454.17383526,0.00427790386373
1049.93660782,0.010818340273
3024.90660293,0.00939720652641
1742.8522031,0.00241009476396
3579.87872165,0.0296182606338
4286.82971454,0.0239013077489
711.361982324,0.0967031592699
3980.86440872,0.0220331329296
2215.28095863,0.00693154786835
2674.03601278,0.00719629727175
889.381270016,0.00729724936466
994.439580994,0.00928123177602
566.001197687,0.00146296711826
713.219408102,0.00345204746565
1004.70151857,0.0235237306324
2298.96506651,0.00431503222254
1290.05514031,0.0109164373752
1093.26611061,0.0384564311949
1073.65959346,0.0101640285899
2379.8461839,0.0060490277033
207.214315708,0.00237160519209
794.76649585,0.00533292057631
1344.58232881,0.00798833628714
876.168728003,0.00480609803905
3949.82841384,0.00931314053418
1857.94252615,0.0035854966117
888.639718829,0.0090749635613
1481.43084603,0.00197943739482
2298.11261206,0.00752716726779
2193.73950998,0.0245157322818
786.593346386,0.0131644023743
2003.81513074,0.00816947942897
637.726898906,0.00596216482169
3076.08125966,0.00468461053166
500.537324732,0.00290363576381
494.390148456,0.00664701953873
1035.09066139,0.00593740494427
2396.14078511,0.0031691424541
577.123513651,0.00408505580913
1415.71363081,0.0074098626606
1392.02208715,0.00358325893136
972.933103525,0.00295568783369
445.408495107,0.00587875703598
382.17641299,0.00492444947089
1731.04519683,0.00279567043769
916.588301973,0.00668196581096
2114.07410152,0.00806206474837
891.481124196,0.00651974844058
2342.27101469,0.0102982308024
330.137152444,0.00348419817228
1479.91948991,0.00773341395644
1097.1417249,0.00606781674054
602.963843177,0.0034764729288
1016.39541288,0.0129904271285
693.217716208,0.00201918335413
2034.8306002,0.00303309851547

5-Fold RMSE:,0.0251966322849,0.00784948932358,0.0540750205381,0.00671728089206,0.00671728089206
Average 5-Fold RMSE:,0.020550256132

5-Fold rsquared:,0.20620749919,-0.0240708354671,-11.0990939009,-0.172275997579,-0.172275997579
Average 5-Fold rsquared:,-2.5059799048
