totalTime,transError.mean.mean
7739.04545455,0.494097045455
5871.41333333,0.347489733333
2281.97894737,0.178033842105
1354.59642857,0.111519571429
1659.58214286,0.135674892857
5185.57037037,0.500454518519
5477.86666667,0.483538
3478.16818182,0.314663090909
2830.96086957,0.266804521739
1745.23513514,0.136014027027
2208.06285714,0.1602634
1662.192,0.11330008
1609.00666667,0.120517266667
2120.34594595,0.168670918919
2048.65333333,0.1753349
3052.23428571,0.250973828571
3764.16896552,0.255138206897
3581.27058824,0.275744352941
7070.53478261,0.550894956522
4370.66666667,0.348672047619
9172.43333333,0.556707151515
9147.29230769,0.560622653846
2876.39487179,0.375646230769
10577.6692308,0.493396230769
5200.37,0.349249866667
6047.27826087,0.511895521739
3020.41666667,0.3828526
3045.04117647,0.376121705882
2454.26153846,0.2061935
2699.92727273,0.234490727273
3264.42903226,0.250467741935
5479.196,0.63580396
4427.51923077,0.298866
3802.08461538,0.263492076923
3494.89333333,0.251716
6018.93823529,0.461833911765
1558.62647059,0.0827919117647
3136.37916667,0.224303125
3815.912,0.36068872
2507.84230769,0.297397730769
8208.764,0.67577856
5026.896,0.58428656
2862.13043478,0.276685391304
3938.79487179,0.26799774359
5791.23846154,0.394348115385
5879.612,0.3909144
2866.03870968,0.301939870968
5106.66388889,0.332147583333
2649.53928571,0.301987178571
7307.11666667,0.381142583333
2228.52666667,0.2053401
2098.088,0.16422708
3423.01111111,0.273704222222
6119.592,0.42013416
2410.93333333,0.312152897436
4412.42962963,0.391206259259
3693.98717949,0.319272923077
3426.39032258,0.283932129032
2034.859375,0.19405875
1896.65609756,0.191225219512
4133.45185185,0.285231925926
2596.04,0.3031
5131.46666667,0.4451378
2637.14444444,0.236201074074
5495.39090909,0.513622636364
1954.06206897,0.154262137931
4150.80833333,0.395215916667
3693.959375,0.2822633125
2386.22592593,0.189719777778
7180.75,0.513207166667
2941.61538462,0.240103076923
2600.284,0.17891308
5058.65263158,0.367190842105
7318.78076923,0.626637846154

5-Fold RMSE:,0.0593233216534,0.107149171273,0.0599563459325,0.0672127273613,0.0672127273613
Average 5-Fold RMSE:,0.0715977160693

5-Fold rsquared:,0.842845425902,0.750987863729,0.5133429718,0.638961683655,0.638961683655
Average 5-Fold rsquared:,0.667954183927
