voronoi_numTerminalPoints,transError.mean.std
117,0.128810550931
82,0.0626106276575
82,0.0363222141704
31,0.0240230927776
48,0.0231752964896
92,0.12471567563
189,0.118403445404
136,0.105974371826
76,0.0468835943002
59,0.0525575836354
57,0.0652650350355
39,0.0380406378831
42,0.048698079138
60,0.0465531383268
41,0.015699391456
36,0.0795487657361
108,0.0609893108178
135,0.0634488000674
107,0.121656676099
63,0.108765944747
168,0.116482183881
85,0.123971354033
95,0.117014135854
154,0.093854286797
70,0.0949115380575
65,0.113382526137
43,0.0940625752148
119,0.143229486163
110,0.0476951664389
137,0.0815122877936
138,0.0482871281887
97,0.109859637786
224,0.0815752280843
204,0.0639775660122
145,0.0966037993107
171,0.130209711384
40,0.0344430098623
108,0.0825251437691
112,0.0787229033116
54,0.0703616797672
153,0.136893046155
117,0.131748844655
66,0.0638479804609
105,0.0832238780337
137,0.112655965246
131,0.0882750414235
93,0.0630703094014
85,0.0904968358626
87,0.0844506183324
125,0.0812632064472
72,0.0478290808047
88,0.0665534059179
74,0.063039235743
125,0.0862053699096
87,0.0951669768786
112,0.0936298052555
68,0.083845172989
95,0.067525357097
87,0.0711609699581
85,0.0754858045801
9,0.0666286445176
62,0.06593977187
125,0.119219125795
72,0.060063217006
118,0.0967598598958
64,0.0600886637503
108,0.103345628507
126,0.0960266591481
111,0.0554747715395
220,0.117509395197
94,0.0976733690521
118,0.0490437767207
106,0.0852449136299
309,0.18024925237

5-Fold RMSE:,0.0245402152928,0.0308061439459,0.0284400336266,0.0254242405831,0.0254242405831
Average 5-Fold RMSE:,0.0266675762553

5-Fold rsquared:,0.144881787869,0.455730583284,0.29875772709,0.371878243944,0.371878243944
Average 5-Fold rsquared:,0.219028776916
