topology_std_eigenvector_centrality,rotError.numSamples.mean
0.0983045532532,8502.88888889
0.105212691271,4291.20833333
0.10756347235,5073.26086957
0.122312884505,2208.2
0.1677582343,533.736842105
0.126523822532,281.035714286
0.134659649123,375.75
0.0953368680058,3820.06451613
0.10463312949,4729.04166667
0.143314542052,3357.30434783
0.155800946802,1109.95652174
0.136238783067,244.540540541
0.12070283799,830.8
0.154249695615,180.0
0.144335610656,450.733333333
0.122088537902,457.388888889
0.115471578888,628.1
0.126969125396,954.971428571
0.149197272515,914.034482759
0.0976310729378,2059.76470588
0.0929410616606,8900.875
0.129587592,2142.7826087
0.0976912934536,9951.88235294
0.112134596259,5881.21428571
0.108435380695,3028.03571429
0.116999705628,12817.0714286
0.132839614937,2496.67647059
0.127039153774,8121.34782609
0.120678590464,2459.1
0.118775976121,3998.88235294
0.122166059236,716.857142857
0.11397801196,843.47826087
0.112661742233,3702.36363636
0.133711411098,6648.12
0.0795638641065,4365.44444444
0.106549735087,4280.06666667
0.111420287448,1701.35294118
0.0928921269199,3879.09375
0.132185619966,189.695652174
0.122766639694,1054.375
0.105912295049,2765.85185185
0.133073753052,1206.76923077
0.114101280324,6532.5
0.109405113251,3173.27272727
0.12661037708,2456.83333333
0.120475441694,2281.8
0.11078077306,6061.31034483
0.108512198276,8307.2
0.13417553378,2598.6
0.128133402293,3927.24390244
0.131768090649,1492.89285714
0.130350497196,3379.41666667
0.129026999341,655.766666667
0.133089510306,964.583333333
0.14421463787,1611.27777778
0.104515098912,3842.36
0.123327189632,1384.0
0.129278231027,3280.36666667
0.136984666563,2484.47619048
0.119071453185,1119.77419355
0.123020874141,581.0
0.133127955687,510.341463415
0.121745985772,1274.18518519
0.125418567606,1420.46666667
0.113860325594,4234.0625
0.122025009105,754.666666667
0.11116785633,3208.20833333
0.124194319488,407.793103448
0.0963975736058,2487.5
0.105943592175,2474.48571429
0.130288075133,609.074074074
0.12417994054,2976.25
0.1242813404,461.08
0.113850442469,1971.81578947

5-Fold RMSE:,1923.95499566,2868.24970407,2811.72724498,2125.99314808,2125.99314808
Average 5-Fold RMSE:,2254.95993256

5-Fold rsquared:,0.323287717584,0.123371130026,0.359137865673,-0.536167154528,-0.536167154528
Average 5-Fold rsquared:,0.0774837165052
