topology_std_closeness_centrality,transError.std.std
0.0598415157943,0.210038240515
0.0722237137313,0.167837658831
0.0565394436277,0.230568556601
0.0749235383167,0.0888341978949
0.0701663659578,0.0536568207547
0.0657681785738,0.0531756045959
0.13065442293,0.0388866547706
0.0624073878507,0.207135681695
0.0845695226798,0.204774691356
0.0670242256695,0.258492090208
0.0669124340965,0.0429963941514
0.0765484380217,0.0500640527086
0.0646504304243,0.160692173355
0.0905223954098,0.0364422115207
0.0900481570651,0.115579807708
0.115187813932,0.0370592039719
0.0899535979605,0.0491585794691
0.116857256136,0.0890782760547
0.0594648531491,0.0933187599678
0.157134840264,0.138087316178
0.0588838687402,0.283472780901
0.0853782568654,0.155756377989
0.0673104249139,0.431148459783
0.0945135561085,0.301796672041
0.0868958235123,0.15137538147
0.0639585892462,1.02365065259
0.101375536596,0.167680135625
0.0845009452369,0.390698889866
0.108458483731,0.145785206544
0.0665544387217,0.23374692862
0.0374305305731,0.0547581142166
0.0536432565224,0.0669920319093
0.068198206604,0.391347667119
0.0745594040261,0.258741211908
0.0408820498034,0.35561401166
0.0633289348438,0.382246016935
0.0526834428243,0.155138806672
0.0472063942178,0.177945288381
0.095743320775,0.0530782981644
0.0508982298677,0.150426578073
0.0555799197274,0.21615872905
0.0834404573371,0.0819226964463
0.0403607033676,0.293317732168
0.0537675872802,0.127652611947
0.0747329471831,0.221674636893
0.0468274295182,0.0853392946102
0.072643836412,0.357301613152
0.0530174475837,0.453233740742
0.0701235418297,0.179230997901
0.0757339072829,0.236587447923
0.0930764684502,0.110170635227
0.0570677408173,0.172007018126
0.0819311450325,0.0621497895481
0.0947118368488,0.171951321611
0.0492781042019,0.126944549297
0.045934575683,0.109794391941
0.0790551718017,0.107098494917
0.0751243143765,0.151433371273
0.0714943970357,0.185990376251
0.0470059839967,0.064450068138
0.0714476214654,0.0692099506632
0.0858487345512,0.075847820682
0.0699051405756,0.115451416633
0.0729452660304,0.129796983767
0.0600455297118,0.239664370415
0.0706887474473,0.105334107197
0.0775007939585,0.149483092715
0.115934965711,0.0596299714663
0.0606107891583,0.141523549212
0.0707140975918,0.242795647909
0.0834460534495,0.0743403423368
0.0806190931631,0.355724934863
0.087565063355,0.0562958637779
0.0735940216048,0.116143743091

5-Fold RMSE:,0.108230996074,0.117735519898,0.121719309189,0.0822351186132,0.0822351186132
Average 5-Fold RMSE:,0.133665215335

5-Fold rsquared:,-1.33715676507,0.0205631682735,-0.242206261494,0.021710606686,0.021710606686
Average 5-Fold rsquared:,-0.320328181503
