topology_diameter,rotError.mean.std
7,0.00314194787486
6,0.000529720236435
5,0.00274200687267
6,0.000868010041646
2,0.000988470995105
6,0.00396421114784
5,0.00305267434636
7,0.00323725683059
6,0.00162224709611
6,0.00122251686463
6,0.00481593435646
6,0.00139556645188
5,0.00295561424787
2,0.000970277349218
3,0.00087903722649
2,0.00234359606884
8,0.00196300121238
2,0.00475371639426
6,0.00347532974758
4,0.00196074084985
5,0.00290945535533
4,0.0031687609811
4,0.00691864528074
5,0.00176297243951
4,0.00288446249643
4,0.00193137045088
2,0.00350567334933
8,0.0101955133655
13,0.00189316660463
6,0.00409306542765
6,0.0021898122043
7,0.00268365863701
8,0.00416085194839
8,0.00454871802084
8,0.00641385431356
8,0.00357712486121
4,0.00149199568169
8,0.00373159733983
7,0.00227211409784
4,0.00284573492967
8,0.00416717640221
6,0.00429998156474
5,0.00262143524665
12,0.0015716058183
4,0.00295077555546
7,0.00347412036809
8,0.00393376291854
4,0.00199420279203
3,0.00317220657184
8,0.00212895982035
4,0.00283126115696
5,0.00452986510634
6,0.00169591170353
8,0.00167382816322
5,0.00380101619562
7,0.00567736820441
6,0.00200585427637
10,0.00290650421563
6,0.00604227499064
4,0.00633767378436
6,0.00090005519672
5,0.00296056940863
7,0.00379557550738
5,0.0018376947053
4,0.00342684333818
2,0.0018378217927
6,0.0038392713065
4,0.00265952798602
5,0.00290145318257
6,0.127889138475
5,0.00273066403156
4,0.00140772643706
5,0.00163527502515
7,0.00529794026363

5-Fold RMSE:,0.00307724415908,0.0322328237854,0.00204048339993,0.00223557850243,0.00223557850243
Average 5-Fold RMSE:,0.00848715181193

5-Fold rsquared:,-0.070673715654,-5.69440856732,-1.61134048972,-1.10076968193,-1.10076968193
Average 5-Fold rsquared:,-1.94157457871
