voronoi_avg_closeness_centrality,transError.mean.mean
0.0829681026723,0.494097045455
0.0792384190845,0.347489733333
0.0798824288546,0.178033842105
0.178437489832,0.111519571429
0.111079156429,0.135674892857
0.0829357773374,0.500454518519
0.0635474330535,0.483538
0.0627819242078,0.314663090909
0.070759448798,0.266804521739
0.0847485271117,0.136014027027
0.0911718928997,0.1602634
0.121065388922,0.11330008
0.120524288794,0.120517266667
0.0966926435271,0.168670918919
0.130293676296,0.1753349
0.119034100862,0.250973828571
0.0633096270436,0.255138206897
0.0716879263894,0.275744352941
0.0626132509807,0.550894956522
0.0884732603304,0.348672047619
0.0418780662733,0.556707151515
0.0745168063384,0.560622653846
0.108537964332,0.375646230769
0.0689598898793,0.493396230769
0.12870857214,0.349249866667
0.0852834013798,0.511895521739
0.126092060057,0.3828526
0.0607268432365,0.376691423077
0.0613436786713,0.2061935
0.0713487155756,0.234490727273
0.0716179077184,0.250467741935
0.0677186188063,0.63580396
0.0583282349173,0.298866
0.0511601522691,0.263492076923
0.0630304264848,0.279235933333
0.0576403296223,0.469986628571
0.134849739205,0.0827919117647
0.0787934053944,0.224303125
0.0784116989904,0.36068872
0.10438803755,0.297397730769
0.0621938106869,0.687380423077
0.0459685102702,0.594765692308
0.0833470642953,0.276685391304
0.0668233399598,0.26799774359
0.0674685943723,0.394348115385
0.066160655136,0.407328592593
0.086124372711,0.301939870968
0.0670963269855,0.337777675676
0.0860557798913,0.301987178571
0.0743900151433,0.381142583333
0.0848779173114,0.2053401
0.0957811074698,0.16422708
0.0804055982337,0.273704222222
0.0602154793258,0.42013416
0.0849009471958,0.315128875
0.0764866089586,0.391206259259
0.0838354988579,0.319272923077
0.0620173042545,0.283932129032
0.0854679083625,0.19405875
0.089826724729,0.191225219512
0.276990231888,0.287816464286
0.0799232574825,0.3031
0.0653665559372,0.4451378
0.0828839962515,0.236201074074
0.0752682157962,0.513622636364
0.105127732991,0.154262137931
0.0763646154256,0.395215916667
0.0824425675438,0.2822633125
0.0764803546915,0.189719777778
0.0502815796087,0.513207166667
0.0840568168315,0.240103076923
0.0692964768629,0.17891308
0.0778106496485,0.367190842105
0.047644843881,0.626637846154

5-Fold RMSE:,0.180090821011,0.118243340309,0.119287444058,0.141109526097,0.141109526097
Average 5-Fold RMSE:,0.135855807231

5-Fold rsquared:,0.259633824964,-3.80007859404,0.0743971863946,0.224384039825,0.224384039825
Average 5-Fold rsquared:,-0.601579018868
