wallRatio,rotError.mean.std
95.5085578123,0.00331315133626
58.5,0.000529720236435
259.861982598,0.00274200687267
79.1568064035,0.000868010041646
156.077544829,0.000988470995105
254.000492126,0.00429956664055
107.75,0.00305267434636
85.0,0.00325076749757
150.372087523,0.00162224709611
116.372247551,0.00122251686463
79.9034139168,0.00481593435646
152.105884173,0.00139556645188
140.405128111,0.00295561424787
70.2032762768,0.00086073843683
111.803398875,0.00087903722649
52.3333333333,0.00234359606884
159.476547589,0.00188456667166
107.12901101,0.00475371639426
75.0,0.00397965134483
85.5,0.00194485015484
82.2192191644,0.0029966941151
85.6692606611,0.00728678377751
146.017550315,0.0240067761271
42.5,0.00627694262703
40.7940417972,0.00364257671701
116.833333333,0.00193137045088
54.6829244118,0.00350567334933
195.799193881,0.011540864302
52.3630080819,0.00169851493892
72.7590861363,0.00387832424544
137.333434466,0.018982936371
195.0,0.00268365863701
57.795023193,0.00951347370549
62.8,0.0113683540574
64.1950153828,0.0102189055546
47.3333333333,0.00279617073466
134.713399482,0.00119649202124
75.894663844,0.00356308331189
64.2505870093,0.00435481252733
64.8333333333,0.00284573492967
113.5,0.00405173873492
59.6003355695,0.00258198449888
116.659635642,0.00935193660277
75.5,0.00120964368307
61.75,0.00544625576124
119.221642331,0.0122018643728
100.215345056,0.00687929093309
113.84243497,0.00319700990545
100.762716319,0.00317220657184
108.5,0.00270284127902
61.0,0.00283126115696
69.3375245282,0.00237693489734
162.786363065,0.00169591170353
60.9924333264,0.00167382816322
276.335142736,0.00464877681209
125.858650875,0.00631663664558
136.792027631,0.00267358431567
170.018165119,0.00290650421563
186.752431278,0.00632801513764
94.2,0.00633767378436
121.115647214,0.000912842598408
125.858650875,0.00296056940863
69.0004528971,0.00514108200771
60.5556574923,0.0018376947053
54.7144722115,0.00559589829449
76.8259771772,0.0018378217927
56.5108006335,0.00470429841354
185.4,0.00708596426669
39.8571428571,0.00290145318257
68.2,0.00205404963873
88.2524787187,0.0102512932546
103.815447111,0.00140772643706
359.666821131,0.00163527502515
82.25,0.0038489765622
