topology_numBifurcationPoints,rotError.numSamples.mean
20,8502.88888889
8,4291.20833333
12,5073.26086957
8,2208.2
3,533.736842105
2,281.035714286
1,375.75
14,3820.06451613
4,4729.04166667
5,3357.30434783
5,1109.95652174
3,244.540540541
5,830.8
2,180.0
9,450.733333333
3,457.388888889
4,628.1
1,954.971428571
9,914.034482759
0,2059.76470588
17,8900.875
4,2142.7826087
6,9951.88235294
5,5881.21428571
9,3028.03571429
12,12817.0714286
1,2496.67647059
2,8121.34782609
1,2459.1
8,3998.88235294
12,716.857142857
10,843.47826087
7,3702.36363636
3,6648.12
28,4365.44444444
10,4280.06666667
15,1701.35294118
14,3879.09375
3,189.695652174
10,1054.375
9,2765.85185185
3,1206.76923077
15,6532.5
5,3173.27272727
5,2456.83333333
22,2281.8
3,6061.31034483
13,8307.2
5,2598.6
3,3927.24390244
3,1492.89285714
12,3379.41666667
3,655.766666667
4,964.583333333
7,1611.27777778
9,3842.36
4,1384.0
5,3280.36666667
3,2484.47619048
7,1119.77419355
4,581.0
3,510.341463415
3,1274.18518519
5,1420.46666667
7,4234.0625
4,754.666666667
6,3208.20833333
1,407.793103448
3,2487.5
11,2474.48571429
3,609.074074074
5,2976.25
4,461.08
5,1971.81578947

5-Fold RMSE:,2735.68707567,3000.97704387,2249.79831991,1642.89609456,1642.89609456
Average 5-Fold RMSE:,2393.90770321

5-Fold rsquared:,-0.0728374211952,-0.249152458794,0.129914406775,0.0315092228959,0.0315092228959
Average 5-Fold rsquared:,0.0567234219965
