traversalTime,transError.std.std
1349.09985599,0.197657005465
919.718726924,0.0888341978949
419.663612797,0.0536568207547
211.703543676,0.0531756045959
265.490773911,0.0388866547706
1173.06783952,0.207135681695
1490.99507567,0.204774691356
841.175649661,0.258492090208
512.459790786,0.0429963941514
183.023661923,0.0500640527086
288.952643527,0.160692173355
191.014634059,0.0364422115207
162.313862645,0.115579807708
384.763332574,0.0370592039719
546.868433022,0.0491585794691
384.284799509,0.0890782760547
1093.28515564,0.092571482715
823.369821087,0.138087316178
1603.67256076,0.283472780901
726.421235223,0.155756377989
1455.54715772,0.273444335576
1342.9430314,0.301796672041
608.712541442,0.15137538147
1371.34741951,1.09223982879
550.763056801,0.167680135625
1001.59400158,0.390698889866
498.802202458,0.145785206544
951.22385554,0.23374692862
633.149187702,0.0547581142166
808.608614515,0.0669920319093
897.190026783,0.391347667119
1578.35836762,0.258741211908
918.534020399,0.35561401166
1008.03211816,0.382246016935
870.931728251,0.155138806672
1371.33686714,0.177945288381
274.928270325,0.0530782981644
658.752298095,0.0549553057413
750.178214424,0.21615872905
510.678711028,0.0819226964463
1567.27616653,0.293317732168
1367.57529848,0.127652611947
492.886623007,0.221674636893
740.557101864,0.0853392946102
1069.35769226,0.357301613152
1006.22432177,0.453233740742
520.067365763,0.179230997901
717.088483789,0.236587447923
354.772213719,0.110170635227
1193.67522752,0.188751485919
439.245777626,0.0621497895481
431.491340742,0.0834510200204
425.603880936,0.126944549297
1025.57459113,0.109794391941
589.758911653,0.107098494917
656.952316561,0.151433371273
754.01694709,0.185990376251
699.590611899,0.064450068138
484.299613589,0.0378693543451
339.901939934,0.075847820682
205.223499199,0.117333490955
609.45010448,0.129796983767
1187.28583886,0.239664370415
639.103357547,0.105334107197
874.938568522,0.149483092715
285.340344762,0.0596299714663
870.904226907,0.141523549212
731.103227949,0.294155507688
618.684245989,0.0743403423368
2080.31115619,0.198682666526
786.534337607,0.355724934863
653.648966259,0.0562958637779
1138.67499527,0.116143743091
2035.82864252,0.177137692319
