topology_edges,rotError.mean.mean
54,0.0160152777778
48,0.0361834583333
48,0.0081227826087
32,0.00518106666667
13,0.00745268421053
10,0.00380332142857
12,0.00530514285714
63,0.0113298387097
43,0.0100377916667
26,0.00991973913043
23,0.00654347826087
14,0.00574740540541
16,0.0063216
15,0.00609472
22,0.00695146666667
19,0.00522869444444
18,0.00419643333333
15,0.00586774285714
30,0.0080334137931
2,0.00957582352941
67,0.0118060833333
21,0.00680830434783
49,0.0128010294118
32,0.0102644642857
41,0.0246713571429
37,0.007418
18,0.00877191176471
19,0.00719391304348
18,0.0116620333333
36,0.0221704705882
42,0.00773861904762
46,0.0076692173913
39,0.0124832272727
24,0.0090522
90,0.0147335925926
57,0.0128114
57,0.0131788235294
63,0.0105658125
13,0.00586613043478
47,0.0116517083333
35,0.010821
16,0.00736969230769
51,0.012007125
23,0.00962695454545
23,0.0105803333333
59,0.0089074
30,0.0112168965517
50,0.0137696
29,0.0132841714286
19,0.0079603902439
18,0.0102650357143
32,0.0086655
20,0.0111931666667
21,0.00875566666667
26,0.00787177777778
43,0.0083908
25,0.0134036428571
26,0.0111335666667
20,0.00665304761905
31,0.0100887741935
22,0.0114415
15,0.0108286829268
18,0.00525488888889
16,0.0074369
37,0.01176809375
20,0.00650085185185
35,0.0117556666667
17,0.00662575862069
39,0.0114198846154
46,0.00779974285714
17,0.00717885185185
27,0.00862746428571
21,0.00584372
35,0.0060295

5-Fold RMSE:,0.00213661771672,0.00373772594878,0.00228122218455,0.00672090566355,0.00672090566355
Average 5-Fold RMSE:,0.00388654647214

5-Fold rsquared:,-0.181233496322,0.331523130292,-0.27717623887,0.0365284530183,0.0365284530183
Average 5-Fold rsquared:,0.0289734466265
