perimeter,transError.std.std
919.385854688,0.197657005465
845.094809668,0.0888341978949
400.830204991,0.0536568207547
104.798400009,0.0531756045959
297.255462487,0.0388866547706
175.184877189,0.207135681695
975.710287307,0.204774691356
661.864870045,0.258492090208
461.959330453,0.0429963941514
301.700928702,0.0500640527086
395.362041332,0.160692173355
266.76921056,0.0364422115207
190.183623926,0.115579807708
384.28900186,0.0370592039719
169.305586218,0.0491585794691
547.895428741,0.0890782760547
663.883925852,0.092571482715
569.465956684,0.138087316178
277.253593842,0.283472780901
186.385475943,0.155756377989
266.853191731,0.273444335576
251.520417083,0.301796672041
217.978099666,0.15137538147
413.568733758,1.09223982879
161.46910584,0.167680135625
333.320883456,0.390698889866
348.726342602,0.145785206544
582.414195881,0.23374692862
416.287346717,0.0547581142166
602.450956601,0.0669920319093
625.529006956,0.391347667119
1411.67024864,0.258741211908
687.006424965,0.35561401166
804.802666284,0.382246016935
325.157616123,0.155138806672
394.105092531,0.177945288381
254.907573617,0.0530782981644
512.058047582,0.0549553057413
574.390274931,0.21615872905
577.749460923,0.0819226964463
462.202334131,0.293317732168
542.151199633,0.127652611947
607.353417602,0.221674636893
895.078361009,0.0853392946102
810.652971073,0.357301613152
791.247099826,0.453233740742
523.504495381,0.179230997901
642.501394841,0.236587447923
438.695516966,0.110170635227
921.061208435,0.188751485919
425.51985706,0.0621497895481
383.553654629,0.0834510200204
611.004216827,0.126944549297
1094.05395026,0.109794391941
396.724658884,0.107098494917
623.982104305,0.151433371273
673.355919531,0.185990376251
614.642509546,0.064450068138
383.053807066,0.0378693543451
377.554649486,0.075847820682
798.372831181,0.117333490955
541.589338691,0.129796983767
479.641424654,0.239664370415
562.534496366,0.105334107197
398.050280897,0.149483092715
346.945664463,0.0596299714663
629.847164937,0.141523549212
243.197749682,0.294155507688
431.988152916,0.0743403423368
476.307895935,0.198682666526
609.954365264,0.355724934863
446.124179764,0.0562958637779
1033.37498647,0.116143743091
383.710764507,0.177137692319
