topology_nodes,transError.mean.std
35,0.187622165382
42,0.117509395197
41,0.150879627982
25,0.0626106276575
13,0.0363222141704
10,0.0240230927776
12,0.0231752964896
47,0.244942705536
38,0.118403445404
24,0.25684750383
19,0.0468835943002
15,0.0525575836354
17,0.0652650350355
15,0.0380406378831
16,0.048698079138
16,0.0471928668924
15,0.015699391456
16,0.0795487657361
25,0.0609893108178
3,0.0634488000674
47,0.157331633444
19,0.225853461955
43,0.335983825039
26,0.192289958812
29,0.0925116985357
34,0.173005460782
19,0.150862439925
20,0.113382526137
19,0.0940625752148
30,0.228409668405
37,0.0484971177734
37,0.0700468458533
35,0.287812908678
25,0.109859637786
63,0.30823195051
46,0.251954545215
48,0.158847840005
52,0.112238353718
13,0.0402882774962
40,0.0825251437691
32,0.1264444763
17,0.0703616797672
42,0.114763250904
23,0.0896356459078
21,0.185040710074
46,0.14370205831
30,0.281651273406
40,0.217198105027
27,0.0868164172079
19,0.121972989288
16,0.0844506183324
27,0.0812632064472
21,0.0478290808047
20,0.165411061738
23,0.063039235743
38,0.0862053699096
24,0.123650418782
25,0.166220167829
20,0.205108169667
30,0.067525357097
22,0.0711609699581
16,0.0754858045801
19,0.0664587250454
17,0.06593977187
35,0.17018166168
21,0.060063217006
30,0.14039673261
16,0.0600886637503
37,0.141798879212
35,0.259118831645
16,0.0554747715395
24,0.22720282762
19,0.0490437767207
30,0.0852449136299

5-Fold RMSE:,0.0510937372879,0.0712174754135,0.0738994999534,0.0744628865482,0.0744628865482
Average 5-Fold RMSE:,0.066024119514

5-Fold rsquared:,0.245422676995,0.0548938962415,-0.272649958422,0.545264157452,0.545264157452
Average 5-Fold rsquared:,0.142551582152
