topology_avg_closeness_centrality,transError.std.std
0.327739729602,0.210038240515
0.370196021598,0.167837658831
0.284488279077,0.230568556601
0.370535696424,0.0888341978949
0.358863475026,0.0536568207547
0.350465651995,0.0531756045959
0.567857142857,0.0388866547706
0.350927942074,0.207135681695
0.427792565408,0.204774691356
0.312405095581,0.258492090208
0.329418318811,0.0429963941514
0.36624766393,0.0500640527086
0.325865200622,0.160692173355
0.394037999891,0.0364422115207
0.417940572526,0.115579807708
0.556821291735,0.0370592039719
0.464896387222,0.0491585794691
0.547413793103,0.0890782760547
0.273047839118,0.0933187599678
0.777777777778,0.138087316178
0.341150943476,0.283472780901
0.4281060583,0.155756377989
0.42200643551,0.431148459783
0.488065475429,0.301796672041
0.461444444904,0.15137538147
0.31302022507,1.02365065259
0.458570826992,0.167680135625
0.41996024624,0.390698889866
0.53984962406,0.145785206544
0.321027376431,0.23374692862
0.189915402114,0.0547581142166
0.324047864311,0.0669920319093
0.33979368597,0.391347667119
0.352171322103,0.258741211908
0.259287867843,0.35561401166
0.320506146099,0.382246016935
0.275527456151,0.155138806672
0.277062827077,0.177945288381
0.4379649762,0.0530782981644
0.281287246979,0.150426578073
0.307063318781,0.21615872905
0.415539839586,0.0819226964463
0.261732493222,0.293317732168
0.302416892695,0.127652611947
0.384808883271,0.221674636893
0.219125448248,0.0853392946102
0.401346505261,0.357301613152
0.278481518716,0.453233740742
0.315127997702,0.179230997901
0.3736125688,0.236587447923
0.452601597772,0.110170635227
0.278791459505,0.172007018126
0.391192719863,0.0621497895481
0.439189149067,0.171951321611
0.297418731391,0.126944549297
0.261752702654,0.109794391941
0.408935571873,0.107098494917
0.345619064651,0.151433371273
0.320985703109,0.185990376251
0.236469882369,0.064450068138
0.351668103559,0.0692099506632
0.40030941228,0.075847820682
0.348572411089,0.115451416633
0.338184595993,0.129796983767
0.297037369872,0.239664370415
0.343097345261,0.105334107197
0.424645653444,0.149483092715
0.552032019704,0.0596299714663
0.361359086553,0.141523549212
0.387862468291,0.242795647909
0.406535603422,0.0743403423368
0.401704629629,0.355724934863
0.440632856899,0.0562958637779
0.394681310097,0.116143743091

5-Fold RMSE:,0.0900666889081,0.10303832975,0.240926655568,0.110469362012,0.110469362012
Average 5-Fold RMSE:,0.132483854251

5-Fold rsquared:,-0.025569010524,-0.0228077665257,0.0580191436836,-0.131396718002,-0.131396718002
Average 5-Fold rsquared:,-0.027340429646
