voronoi_diameter,transError.mean.std
28,0.128810550931
36,0.0626106276575
29,0.0363222141704
11,0.0240230927776
22,0.0231752964896
26,0.12471567563
39,0.118403445404
38,0.105974371826
39,0.0468835943002
31,0.0525575836354
27,0.0652650350355
19,0.0380406378831
19,0.048698079138
26,0.0465531383268
16,0.015699391456
20,0.0795487657361
39,0.0609893108178
38,0.0634488000674
41,0.121656676099
24,0.108765944747
51,0.116482183881
44,0.123971354033
21,0.117014135854
31,0.093854286797
18,0.0949115380575
27,0.113382526137
16,0.0940625752148
45,0.143229486163
43,0.0476951664389
37,0.0815122877936
30,0.0482871281887
36,0.109859637786
44,0.0815752280843
55,0.0639775660122
38,0.0966037993107
41,0.130209711384
15,0.0344430098623
28,0.0825251437691
31,0.0787229033116
24,0.0703616797672
39,0.136893046155
51,0.131748844655
34,0.0638479804609
43,0.0832238780337
34,0.112655965246
40,0.0882750414235
28,0.0630703094014
40,0.0904968358626
24,0.0844506183324
31,0.0812632064472
31,0.0478290808047
23,0.0665534059179
33,0.063039235743
45,0.0862053699096
26,0.0951669768786
31,0.0936298052555
27,0.083845172989
46,0.067525357097
30,0.0711609699581
28,0.0754858045801
8,0.0666286445176
31,0.06593977187
38,0.119219125795
28,0.060063217006
31,0.0967598598958
25,0.0600886637503
32,0.103345628507
27,0.0960266591481
35,0.0554747715395
49,0.117509395197
30,0.0976733690521
35,0.0490437767207
29,0.0852449136299
52,0.18024925237

5-Fold RMSE:,0.0218615228367,0.0378803727961,0.0293482587547,0.028998241155,0.028998241155
Average 5-Fold RMSE:,0.0286957409375

5-Fold rsquared:,0.0294508468326,-0.00227262867968,0.118266379895,-0.0321514490437,-0.0321514490437
Average 5-Fold rsquared:,0.0157035119408
