topology_density,transError.numSamples.mean
0.090756302521,8502.88888889
0.0557491289199,4291.20833333
0.0585365853659,5073.26086957
0.106666666667,2208.2
0.166666666667,533.736842105
0.222222222222,281.035714286
0.181818181818,375.75
0.0582793709528,3820.06451613
0.0611664295875,4729.04166667
0.0942028985507,3357.30434783
0.134502923977,1109.95652174
0.133333333333,244.540540541
0.117647058824,830.8
0.142857142857,180.0
0.183333333333,450.733333333
0.158333333333,457.388888889
0.171428571429,628.1
0.125,954.971428571
0.1,914.034482759
0.666666666667,2059.76470588
0.0619796484736,8900.875
0.122807017544,2142.7826087
0.0542635658915,9951.88235294
0.0984615384615,5881.21428571
0.100985221675,3028.03571429
0.0659536541889,12817.0714286
0.105263157895,2496.67647059
0.1,8121.34782609
0.105263157895,2459.1
0.0827586206897,3998.88235294
0.0630630630631,716.857142857
0.0690690690691,843.47826087
0.0655462184874,3702.36363636
0.08,6648.12
0.0460829493088,4365.44444444
0.0550724637681,4280.06666667
0.0505319148936,1701.35294118
0.0475113122172,3879.09375
0.166666666667,189.695652174
0.0602564102564,1054.375
0.070564516129,2765.85185185
0.117647058824,1206.76923077
0.0592334494774,6532.5
0.0909090909091,3173.27272727
0.109523809524,2456.83333333
0.0570048309179,2281.8
0.0689655172414,6061.31034483
0.0641025641026,8307.2
0.0826210826211,2598.6
0.111111111111,3927.24390244
0.15,1492.89285714
0.0911680911681,3379.41666667
0.0952380952381,655.766666667
0.110526315789,964.583333333
0.102766798419,1611.27777778
0.0611664295875,3842.36
0.0905797101449,1384.0
0.0866666666667,3280.36666667
0.105263157895,2484.47619048
0.0712643678161,1119.77419355
0.0952380952381,581.0
0.125,510.341463415
0.105263157895,1274.18518519
0.117647058824,1420.46666667
0.0621848739496,4234.0625
0.0952380952381,754.666666667
0.0804597701149,3208.20833333
0.141666666667,407.793103448
0.0585585585586,2487.5
0.0773109243697,2474.48571429
0.141666666667,609.074074074
0.0978260869565,2976.25
0.122807017544,461.08
0.0804597701149,1971.81578947

5-Fold RMSE:,2000.70437897,3132.26434719,2373.12476467,5728.09686824,5728.09686824
Average 5-Fold RMSE:,3147.45447232

5-Fold rsquared:,-7.88639866561,0.141834225459,0.168303465361,0.126976253778,0.126976253778
Average 5-Fold rsquared:,-1.48096597356
