avgRoomPerimeter,transError.mean.mean
1364.92084998,0.507673043478
2504.05291544,0.347489733333
397.608743609,0.178033842105
158.574001973,0.111519571429
635.88614888,0.135674892857
108.968542951,0.567853258065
1528.34984877,0.483538
759.248936383,0.364766782609
907.63600807,0.266804521739
529.397177254,0.136014027027
720.429585269,0.1602634
443.595373769,0.11330008
231.338538533,0.120517266667
655.562672363,0.168592444444
162.29472605,0.1753349
1446.42707976,0.250973828571
1054.23420007,0.267063583333
539.066583437,0.275744352941
99.2869208384,0.572332
252.355785617,0.401876478261
191.722481992,0.554770068966
379.091758694,0.601016714286
262.262352826,0.428635214286
191.601876363,0.545607833333
294.819744545,0.392818764706
252.559291854,0.511895521739
632.972242461,0.3828526
707.007128463,0.480142294118
152.416788175,0.200632047619
511.089909024,0.214672086957
855.595083334,0.310588818182
3522.51982697,0.63580396
345.9363477,0.357241074074
650.998139899,0.322165133333
120.176589697,0.302912058824
264.066070953,0.44758759375
462.675505543,0.0879599565217
381.143373035,0.20017225
758.966768091,0.388622
1344.71238759,0.297397730769
351.259423682,0.663971375
575.918221531,0.551063954545
973.132170798,0.31300125
557.871193445,0.4318884
1503.33670222,0.465919793103
774.553634232,0.471419
555.98246505,0.317696542857
2161.19207626,0.366169390244
1410.68850812,0.301987178571
2284.5563757,0.400407571429
511.212845367,0.2053401
630.752429175,0.194334555556
894.483397546,0.273704222222
1099.36562113,0.42013416
630.451496107,0.323464547619
1194.83545134,0.429869033333
1792.08753811,0.367336428571
525.16858287,0.283932129032
391.018440217,0.224394466667
645.16136179,0.191225219512
2075.92330798,0.285115615385
1164.69698299,0.3031
248.223687618,0.475740875
874.059231919,0.236201074074
470.90808455,0.54542925
527.296427239,0.154262137931
844.944967104,0.423788730769
219.335679185,0.381827136364
558.011810887,0.189719777778
288.41201767,0.489469857143
1406.85593365,0.29107
682.400594462,0.17891308
2023.67071564,0.367190842105
112.337263592,0.55025675
