voronoi_traversal_distance,rotError.std.mean
1349.09985599,0.0134886818182
919.718726924,0.00848306666667
419.663612797,0.00990715789474
211.703543676,0.00666489285714
265.490773911,0.00854714285714
1173.06783952,0.0154531111111
1490.99507567,0.0139629166667
841.175649661,0.0142382727273
512.459790786,0.00927660869565
183.023661923,0.00886394594595
288.952643527,0.0103236571429
191.014634059,0.00831244
162.313862645,0.0120980666667
384.763332574,0.00902981081081
546.868433022,0.0070672
384.284799509,0.00862697142857
1093.28515564,0.0107663448276
823.369821087,0.0146358235294
1603.67256076,0.0153069130435
726.421235223,0.00836128571429
1455.54715772,0.0141560606061
1342.9430314,0.0130143076923
608.712541442,0.0213154358974
1371.34741951,0.0118386923077
550.763056801,0.0129007
1001.59400158,0.0117434782609
498.802202458,0.0171069
951.22385554,0.0201348076923
633.149187702,0.00883107692308
808.608614515,0.00979857575758
897.190026783,0.0108434193548
1578.35836762,0.01273672
918.534020399,0.0201676538462
1008.03211816,0.0242387692308
870.931728251,0.0134642666667
1371.33686714,0.0164263142857
274.928270325,0.008347
658.752298095,0.0136369583333
750.178214424,0.0145126
510.678711028,0.0110901538462
1567.27616653,0.0162626538462
1367.57529848,0.0139900769231
492.886623007,0.0113885652174
740.557101864,0.00808025641026
1069.35769226,0.0127977692308
1006.22432177,0.0142507037037
520.067365763,0.0175852258065
717.088483789,0.0131790810811
354.772213719,0.0140931785714
1193.67522752,0.013008
439.245777626,0.0124418666667
431.491340742,0.01217428
425.603880936,0.0113095
1025.57459113,0.01085984
589.758911653,0.013217275
656.952316561,0.0138498148148
754.01694709,0.00906033333333
699.590611899,0.0113865483871
484.299613589,0.01360234375
339.901939934,0.0114615121951
205.223499199,0.00809121428571
609.45010448,0.0116139666667
1187.28583886,0.0140091666667
639.103357547,0.0103575555556
874.938568522,0.0173899090909
285.340344762,0.0105403103448
870.904226907,0.0152154583333
731.103227949,0.00999909375
618.684245989,0.00975977777778
2080.31115619,0.0581752916667
786.534337607,0.00897219230769
653.648966259,0.00749868
1138.67499527,0.00801097368421
2035.82864252,0.0207175

5-Fold RMSE:,0.00428351975904,0.00430279702641,0.0107458890017,0.00363589973874,0.00363589973874
Average 5-Fold RMSE:,0.00534092941198

5-Fold rsquared:,0.284952366881,0.107712288151,-0.701884236537,-0.448818699161,-0.448818699161
Average 5-Fold rsquared:,-0.191462086349
