topology_diameter,rotError.std.std
7,0.00570813314798
6,0.00238204213415
5,0.00443794731193
6,0.00221181244909
2,0.00124875791759
6,0.00692890029398
5,0.00526352379524
7,0.00916339305052
6,0.00109827381314
6,0.001820392131
6,0.0115835540733
6,0.00242628577179
5,0.00881799279479
2,0.00156947572306
3,0.00133593491358
2,0.0033034977955
8,0.00427790386373
2,0.010818340273
6,0.0073614093577
4,0.0020421627691
5,0.00882900353326
4,0.0056069691509
4,0.00964521917124
5,0.0102373131119
4,0.00694223066048
4,0.00719629727175
2,0.00729724936466
8,0.00941862106525
13,0.00165015637774
6,0.00327309840264
6,0.00344135860057
7,0.00431503222254
8,0.00820748297377
8,0.038374045582
8,0.00800000789555
8,0.00653686665775
4,0.0030003076901
8,0.00533292057631
7,0.00671912860422
4,0.00480609803905
8,0.00899802736477
6,0.00879950207474
5,0.0034406223505
12,0.00161564506
4,0.00646094092521
7,0.00512121237682
8,0.00772600753931
4,0.00810460207062
3,0.00596216482169
8,0.00468461053166
4,0.00290363576381
5,0.00727200671353
6,0.00593740494427
8,0.0031691424541
5,0.00360718859354
7,0.00760278416857
6,0.00281495176744
10,0.00295568783369
6,0.00587875703598
4,0.00492444947089
6,0.00274550707465
5,0.00668196581096
7,0.00693703706243
5,0.00651974844058
4,0.0105001485137
2,0.00348419817228
6,0.00672065780498
4,0.00427584456832
5,0.0034764729288
6,0.218382402573
5,0.0062202472559
4,0.00201918335413
5,0.00303309851547
7,0.00630615992045

5-Fold RMSE:,0.00929262288839,0.00475117810271,0.0548750804146,0.00463923966964,0.00463923966964
Average 5-Fold RMSE:,0.0158082428699

5-Fold rsquared:,-0.0120055243464,-0.910821313917,-5.02583770419,-5.22031607621,-5.22031607621
Average 5-Fold rsquared:,-2.24766687523
