voronoi_traversal_rotation,transError.mean.mean
383.11155342,0.494097045455
299.224987726,0.347489733333
226.003670468,0.178033842105
65.6201458925,0.111519571429
119.373687987,0.135674892857
298.40968252,0.500454518519
531.828197886,0.483538
350.187357947,0.314663090909
194.123703961,0.266804521739
136.791651053,0.136014027027
142.527427016,0.1602634
93.9540558552,0.11330008
112.722731226,0.120517266667
163.845822573,0.168670918919
166.514228449,0.1753349
99.3153433059,0.250973828571
294.725708146,0.255138206897
393.873036041,0.275744352941
463.90477356,0.550894956522
189.655868233,0.348672047619
493.115537244,0.556707151515
273.909081263,0.560622653846
291.098597003,0.375646230769
247.053934824,0.493396230769
212.580961906,0.349249866667
255.161221325,0.511895521739
154.379223345,0.3828526
321.530644611,0.2061935
403.087870914,0.234490727273
425.021775933,0.250467741935
293.121426335,0.63580396
593.843879979,0.298866
538.679861002,0.263492076923
459.10700613,0.279235933333
473.944548731,0.469986628571
144.966338136,0.0827919117647
350.705972495,0.224303125
311.405157352,0.36068872
166.199693564,0.297397730769
453.205692733,0.687380423077
263.788701522,0.594765692308
198.358452797,0.276685391304
282.992600807,0.26799774359
384.492596967,0.394348115385
404.099217031,0.407328592593
235.588634426,0.301939870968
229.212945534,0.337777675676
184.662743682,0.301987178571
355.377918967,0.381142583333
171.74666032,0.2053401
224.47594753,0.16422708
167.825668593,0.273704222222
307.207591809,0.42013416
239.186424328,0.315128875
276.832203798,0.391206259259
226.516662992,0.319272923077
261.569459102,0.283932129032
231.322208878,0.19405875
190.252000937,0.191225219512
19.7037549351,0.287816464286
181.358181073,0.3031
329.711625302,0.4451378
186.04419983,0.236201074074
342.429442135,0.513622636364
154.630366434,0.154262137931
356.5562977,0.395215916667
344.249370086,0.2822633125
271.307075133,0.189719777778
273.749097052,0.240103076923
327.830406313,0.17891308
288.227981357,0.367190842105

5-Fold RMSE:,0.126007171523,0.133006668487,0.129400310842,0.0993145805871,0.0993145805871
Average 5-Fold RMSE:,0.123747312944

5-Fold rsquared:,0.211763620815,-0.223070058595,0.0212341510546,-0.137760845278,-0.137760845278
Average 5-Fold rsquared:,-0.00119315168747
