topology_avg_eigenvector_centrality,rotError.mean.std
0.113226954911,0.00314194787486
0.15823892784,0.000529720236435
0.220862517752,0.00274200687267
0.289813254238,0.000868010041646
0.255343126462,0.000988470995105
0.110396908215,0.00396421114784
0.123966518411,0.00305267434636
0.145353392472,0.00323725683059
0.168397280035,0.00162224709611
0.219330026797,0.00122251686463
0.21036718925,0.00481593435646
0.207059648579,0.00139556645188
0.204125528772,0.00295561424787
0.218161382726,0.000970277349218
0.230939345144,0.00087903722649
0.215357473045,0.00234359606884
0.133192244046,0.00196300121238
0.569035593729,0.00475371639426
0.112421327167,0.00347532974758
0.189310947774,0.00196074084985
0.117099210659,0.00290945535533
0.160895527543,0.0031687609811
0.150746564917,0.00691864528074
0.125390723695,0.00176297243951
0.187043352329,0.00288446249643
0.184013731576,0.00193137045088
0.19511088322,0.00350567334933
0.13865641287,0.0101955133655
0.110011276684,0.00189316660463
0.118473793797,0.00409306542765
0.126010953526,0.0021898122043
0.148732170502,0.00268365863701
0.0976862702812,0.00416085194839
0.101913121764,0.00454871802084
0.0917543071379,0.00641385431356
0.102965149381,0.00357712486121
0.243823786365,0.00149199568169
0.0996411169057,0.00373159733983
0.141536517399,0.00227211409784
0.202768108095,0.00284573492967
0.103876954315,0.00416717640221
0.177507132432,0.00429998156474
0.177732551984,0.00262143524665
0.0849988140114,0.0015716058183
0.145123925159,0.00295077555546
0.115000447066,0.00347412036809
0.137963629888,0.00393376291854
0.19029821377,0.00199420279203
0.212455101814,0.00317220657184
0.14158313783,0.00212895982035
0.175986025184,0.00283126115696
0.179686344074,0.00452986510634
0.150600129793,0.00169591170353
0.124066045206,0.00167382816322
0.162656297032,0.00380101619562
0.152601241746,0.00567736820441
0.176734832805,0.00200585427637
0.138402754199,0.00290650421563
0.174127568122,0.00604227499064
0.211605641264,0.00633767378436
0.194446635085,0.00090005519672
0.207590251003,0.00296056940863
0.124928999144,0.00379557550738
0.180911427975,0.0018376947053
0.144827625308,0.00342684333818
0.216969516308,0.0018378217927
0.133171073548,0.0038392713065
0.131709467573,0.00265952798602
0.213365923892,0.00290145318257
0.112870781893,0.127889138475
0.162006200604,0.00273066403156
0.192836011616,0.00140772643706
0.142728448751,0.00163527502515
0.137505066747,0.00529794026363

5-Fold RMSE:,0.00274790385917,0.00329149081063,0.0321129870464,0.0025720089935,0.0025720089935
Average 5-Fold RMSE:,0.00867185713948

5-Fold rsquared:,-0.405670021339,-2.74045366913,-0.0742140671505,-14.7268177932,-14.7268177932
Average 5-Fold rsquared:,-9.19227863559
