topology_std_closeness_centrality,transError.numSamples.mean
0.0598415157943,8502.88888889
0.0722237137313,4291.20833333
0.0565394436277,5073.26086957
0.0749235383167,2208.2
0.0701663659578,533.736842105
0.0657681785738,281.035714286
0.13065442293,375.75
0.0624073878507,3820.06451613
0.0845695226798,4729.04166667
0.0670242256695,3357.30434783
0.0669124340965,1109.95652174
0.0765484380217,244.540540541
0.0646504304243,830.8
0.0905223954098,180.0
0.0900481570651,450.733333333
0.115187813932,457.388888889
0.0899535979605,628.1
0.116857256136,954.971428571
0.0594648531491,914.034482759
0.157134840264,2059.76470588
0.0588838687402,8900.875
0.0853782568654,2142.7826087
0.0673104249139,9951.88235294
0.0945135561085,5881.21428571
0.0868958235123,3028.03571429
0.0639585892462,12817.0714286
0.101375536596,2496.67647059
0.0845009452369,8121.34782609
0.108458483731,2459.1
0.0665544387217,3998.88235294
0.0374305305731,716.857142857
0.0536432565224,843.47826087
0.068198206604,3702.36363636
0.0745594040261,6648.12
0.0408820498034,4365.44444444
0.0633289348438,4280.06666667
0.0526834428243,1701.35294118
0.0472063942178,3879.09375
0.095743320775,189.695652174
0.0508982298677,1054.375
0.0555799197274,2765.85185185
0.0834404573371,1206.76923077
0.0403607033676,6532.5
0.0537675872802,3173.27272727
0.0747329471831,2456.83333333
0.0468274295182,2281.8
0.072643836412,6061.31034483
0.0530174475837,8307.2
0.0701235418297,2598.6
0.0757339072829,3927.24390244
0.0930764684502,1492.89285714
0.0570677408173,3379.41666667
0.0819311450325,655.766666667
0.0947118368488,964.583333333
0.0492781042019,1611.27777778
0.045934575683,3842.36
0.0790551718017,1384.0
0.0751243143765,3280.36666667
0.0714943970357,2484.47619048
0.0470059839967,1119.77419355
0.0714476214654,581.0
0.0858487345512,510.341463415
0.0699051405756,1274.18518519
0.0729452660304,1420.46666667
0.0600455297118,4234.0625
0.0706887474473,754.666666667
0.0775007939585,3208.20833333
0.115934965711,407.793103448
0.0606107891583,2487.5
0.0707140975918,2474.48571429
0.0834460534495,609.074074074
0.0806190931631,2976.25
0.087565063355,461.08
0.0735940216048,1971.81578947

5-Fold RMSE:,1860.68338636,1669.56288691,1767.50670769,4025.3988359,4025.3988359
Average 5-Fold RMSE:,2441.4318545

5-Fold rsquared:,-0.00776092795325,-0.122251890321,-0.00443715624021,-0.32704910152,-0.32704910152
Average 5-Fold rsquared:,-0.064127568331
