topology_std_katz_centrality,transError.numSamples.mean
0.0358111856313,4854.31818182
0.0506179618926,2208.2
0.0370978935435,533.736842105
0.0184651276566,281.035714286
0.0653190067095,375.75
0.0504062668326,2982.96296296
0.0625156345542,4729.04166667
0.0388418335422,2494.54545455
0.0395175482926,1109.95652174
0.0371844136274,244.540540541
0.0329104586004,830.8
0.0470111349754,180.0
0.0490530355055,450.733333333
0.0680701689278,456.135135135
0.0500539590932,628.1
0.0686054740205,954.971428571
0.032395127214,914.034482759
0.0239938583583,2059.76470588
0.047552149884,8438.2173913
0.0560533106338,1611.28571429
0.0595870605781,6025.96969697
0.0665161870029,4245.57692308
0.0631969735004,2369.74358974
0.0343501102959,11003.8461538
0.0586605327873,2018.0
0.0509329526464,8121.34782609
0.0697491703081,2459.1
0.0415496602463,2825.15384615
0.023963572233,898.038461538
0.0415899045816,845.545454545
0.0447742735529,908.161290323
0.0458339228496,6648.12
0.0303695030845,2004.73076923
0.049173358584,1650.23076923
0.0440867661807,1444.0
0.0346914349788,4167.25714286
0.0441262535518,160.676470588
0.0363263127109,1054.375
0.0327402912611,1731.48
0.0482392301694,1206.76923077
0.0281128168704,6763.84615385
0.0343000566012,4317.96153846
0.0447871510946,1501.82608696
0.0296030675798,1183.46153846
0.0522435943348,4219.69230769
0.0365337137694,3851.77777778
0.0454501425725,2071.29032258
0.040361653923,3696.67567568
0.0528229880672,1492.89285714
0.0273936875411,3379.41666667
0.0456512079203,655.766666667
0.0578577906099,619.76
0.0395871278775,1611.27777778
0.0352676352131,3842.36
0.052747219677,1278.8
0.0455697766838,2906.77777778
0.0313893001367,1697.56410256
0.0283957294271,1119.77419355
0.0395253805847,581.0
0.0426244761908,510.341463415
0.0375295099882,1266.60714286
0.0310919217409,1420.46666667
0.0348802179017,3455.96666667
0.036060369536,754.666666667
0.0596202838132,2924.18181818
0.0681206797005,407.793103448
0.0517742245605,2267.29166667
0.0545557900803,1168.5
0.0448375412368,609.074074074
0.0530163414747,4291.20833333
0.0528453814189,1209.07692308
0.0539921295437,461.08
0.0505610093885,1971.81578947
0.0387865986683,8361.53846154

5-Fold RMSE:,1384.77209068,1592.62095895,2678.22807732,3307.87928844,3307.87928844
Average 5-Fold RMSE:,2214.8734481

5-Fold rsquared:,-0.0174829239454,-0.0805737310671,-0.0204842453845,-0.0243212716211,-0.0243212716211
Average 5-Fold rsquared:,-0.0604972630463
