voronoi_numBifurcationPoints,rotError.std.std
324,0.00568699616952
228,0.218382402573
131,0.00580885788305
162,0.00238204213415
88,0.00443794731193
28,0.00221181244909
44,0.00124875791759
93,0.00670812510145
197,0.00526352379524
146,0.00913242766636
85,0.00109827381314
52,0.001820392131
48,0.0115835540733
39,0.00242628577179
38,0.00881799279479
52,0.00155158807808
41,0.00133593491358
32,0.0033034977955
114,0.00427790386373
145,0.010818340273
119,0.00939720652641
68,0.00241009476396
195,0.0296182606338
107,0.0239013077489
98,0.0967031592699
126,0.0220331329296
66,0.00693154786835
58,0.00719629727175
41,0.00729724936466
125,0.00928123177602
107,0.00146296711826
145,0.00345204746565
141,0.0235237306324
92,0.00431503222254
268,0.0109164373752
214,0.0384564311949
145,0.0101640285899
178,0.0060490277033
36,0.00237160519209
104,0.00533292057631
117,0.00798833628714
49,0.00480609803905
160,0.00931314053418
159,0.0035854966117
62,0.0090749635613
102,0.00197943739482
137,0.00752716726779
155,0.0245157322818
94,0.0131644023743
135,0.00816947942897
84,0.00596216482169
144,0.00468461053166
67,0.00290363576381
90,0.00664701953873
71,0.00593740494427
126,0.0031691424541
81,0.00408505580913
134,0.0074098626606
82,0.00358325893136
94,0.00295568783369
80,0.00587875703598
74,0.00492444947089
13,0.00279567043769
58,0.00668196581096
123,0.00806206474837
65,0.00651974844058
121,0.0102982308024
60,0.00348419817228
111,0.00773341395644
148,0.00606781674054
101,0.0034764729288
93,0.0129904271285
119,0.00201918335413
112,0.00303309851547

5-Fold RMSE:,0.00849479283942,0.00996442528293,0.052754464882,0.0237629778621,0.0237629778621
Average 5-Fold RMSE:,0.0221541549062

5-Fold rsquared:,-2.15145776286,0.362036624298,-0.819913945227,0.0379077172359,0.0379077172359
Average 5-Fold rsquared:,-0.535073447057
