voronoi_numTerminalPoints,rotError.std.std
117,0.00570813314798
82,0.00238204213415
82,0.00443794731193
31,0.00221181244909
48,0.00124875791759
92,0.00692890029398
189,0.00526352379524
136,0.00916339305052
76,0.00109827381314
59,0.001820392131
57,0.0115835540733
39,0.00242628577179
42,0.00881799279479
60,0.00156947572306
41,0.00133593491358
36,0.0033034977955
108,0.00427790386373
135,0.010818340273
107,0.0073614093577
63,0.0020421627691
168,0.00882900353326
85,0.0056069691509
95,0.00964521917124
154,0.0102373131119
70,0.00694223066048
65,0.00719629727175
43,0.00729724936466
119,0.00941862106525
110,0.00165015637774
137,0.00327309840264
138,0.00344135860057
97,0.00431503222254
224,0.00820748297377
204,0.038374045582
145,0.00800000789555
171,0.00653686665775
40,0.0030003076901
108,0.00533292057631
112,0.00671912860422
54,0.00480609803905
153,0.00899802736477
117,0.00879950207474
66,0.0034406223505
105,0.00161564506
137,0.00646094092521
131,0.00512121237682
93,0.00772600753931
85,0.00810460207062
87,0.00596216482169
125,0.00468461053166
72,0.00290363576381
88,0.00727200671353
74,0.00593740494427
125,0.0031691424541
87,0.00360718859354
112,0.00760278416857
68,0.00281495176744
95,0.00295568783369
87,0.00587875703598
85,0.00492444947089
9,0.00274550707465
62,0.00668196581096
125,0.00693703706243
72,0.00651974844058
118,0.0105001485137
64,0.00348419817228
108,0.00672065780498
126,0.00427584456832
111,0.0034764729288
220,0.218382402573
94,0.0062202472559
118,0.00201918335413
106,0.00303309851547
309,0.00630615992045

5-Fold RMSE:,0.00605912133393,0.00595706480931,0.0549036349897,0.0231076507151,0.0231076507151
Average 5-Fold RMSE:,0.0195396147731

5-Fold rsquared:,0.00390792267454,-2.94624935171,-10.1322035749,-9.76281012939,-9.76281012939
Average 5-Fold rsquared:,-4.61297473867
