voronoi_diameter,transError.std.std
28,0.226872799473
36,0.0888341978949
29,0.0536568207547
11,0.0531756045959
22,0.0388866547706
26,0.156091446153
39,0.204774691356
38,0.189473879231
39,0.0429963941514
31,0.0500640527086
27,0.160692173355
19,0.0364422115207
19,0.115579807708
26,0.0365550743802
16,0.0491585794691
20,0.0890782760547
39,0.0933187599678
38,0.138087316178
41,0.258353516079
24,0.0779121061829
51,0.259494989064
44,0.214149069586
21,0.160472378798
31,0.578481679757
18,0.14193715639
27,0.390698889866
16,0.145785206544
45,0.196101691352
43,0.0540020208264
37,0.0639730578518
30,0.0642383791162
36,0.258741211908
44,0.131888311652
55,0.126072926139
38,0.124697260981
41,0.192108034661
15,0.0517409309399
28,0.150426578073
31,0.141387393986
24,0.0819226964463
39,0.284322556163
51,0.268748777682
34,0.0698040570684
43,0.0777311359681
34,0.221015525555
40,0.170190402896
28,0.10685390071
40,0.237490765274
24,0.110170635227
31,0.172007018126
31,0.0621497895481
23,0.110615023941
33,0.126944549297
45,0.109794391941
26,0.0809823194632
31,0.12386252947
27,0.0966363792344
46,0.064450068138
30,0.0692099506632
28,0.075847820682
8,0.113532147819
31,0.129796983767
38,0.192206970562
28,0.105334107197
31,0.145524364411
25,0.0596299714663
32,0.130217601143
27,0.0974594238893
35,0.0743403423368
49,0.167837658831
30,0.168709916846
35,0.0562958637779
29,0.116143743091
52,0.206076064429

5-Fold RMSE:,0.0631819629732,0.127731152883,0.0597865468675,0.0897268875347,0.0897268875347
Average 5-Fold RMSE:,0.0793345281775

5-Fold rsquared:,0.143727302078,-0.571894509261,0.239862865994,0.0227427283148,0.0227427283148
Average 5-Fold rsquared:,-0.028883842513
