avgRoomArea,transError.numSamples.mean
7977.65771283,5859.7826087
21173.5347899,2208.2
624.168754832,533.736842105
80.8425765625,281.035714286
1471.88578033,375.75
34.881097464,3820.06451613
2549.50107571,4729.04166667
1963.40434773,3357.30434783
2780.84323949,1109.95652174
1048.19797,244.540540541
2295.96385831,830.8
722.891074407,180.0
238.733433348,450.733333333
1918.774887,457.388888889
68.8216068272,628.1
6551.51671392,954.971428571
6943.03896001,1007.54166667
1733.7689016,2059.76470588
35.6467956188,8900.875
151.362690548,2142.7826087
99.3657311669,6283.62068966
301.946595142,5881.21428571
121.68372176,3028.03571429
117.729480802,13942.1666667
159.178043584,2496.67647059
159.188760688,8121.34782609
859.936380576,2459.1
1770.82512649,3998.88235294
91.9816248562,716.857142857
1183.72809077,843.47826087
1997.3848037,3702.36363636
49524.5924242,6648.12
469.164697244,4365.44444444
943.370778453,4280.06666667
42.0407507992,1701.35294118
199.193698175,3879.09375
788.58765325,189.695652174
453.458902845,508.4375
1693.17206751,2765.85185185
5552.49887159,1206.76923077
363.343164941,6532.5
1289.36416825,3173.27272727
2951.87623731,2456.83333333
977.277898735,2281.8
5426.47434551,6061.31034483
2722.63884182,8307.2
1209.03521613,2598.6
16879.3303371,3927.24390244
5157.30973711,1492.89285714
15832.5442995,3814.28571429
1087.11846417,655.766666667
1294.3483084,612.888888889
2704.27313193,1611.27777778
4465.17802586,3842.36
2060.46065176,1384.0
6566.39327632,3280.36666667
7841.40851591,2484.47619048
1885.83138054,1119.77419355
684.955365045,591.466666667
1404.46439982,510.341463415
17362.1361915,1281.76923077
5741.66815356,1420.46666667
202.653527556,4234.0625
3232.68514713,754.666666667
654.353986368,3208.20833333
1364.62420536,407.793103448
2100.80696472,2487.5
114.824991211,3492.45454545
1050.81706285,609.074074074
286.445046973,4201.78571429
5620.85672307,2976.25
1918.72960961,461.08
5899.38741064,1971.81578947
37.5123784326,8002.75
