std_betweenness_centrality,transError.numSamples.std
0.0746543812721,5234.2224285
0.062851196191,1068.57195671
0.120555286217,257.853455343
0.134588707592,141.850142792
0.157081183686,182.929460449
0.0702608079073,3510.04999446
0.0724914959019,3935.77212331
0.115339067677,4927.43898941
0.140816589884,363.803157271
0.16805134529,147.306005198
0.169705907227,2626.374729
0.148425240047,108.084781537
0.160579833031,1084.0791156
0.154942199063,183.153742003
0.119327588971,273.731419461
0.175548202855,642.991734482
0.127445753524,736.775631788
0.0828370625069,1510.28589149
0.0894050902149,14727.7449601
0.0939366873161,2308.33572565
0.0913729694687,9784.61316845
0.0739055320019,8108.00744572
0.076293463043,2866.01159506
0.0958990178296,25803.4507764
0.0830023467368,2219.38941949
0.138718645002,8919.29941979
0.117196701992,1725.55951023
0.108306665569,3228.66340734
0.141828214583,308.046732032
0.0756330969252,701.623265043
0.0762021693546,12253.024445
0.140770979315,5103.87888822
0.0511046648544,12190.977691
0.0862567077224,10206.0904135
0.0952789524029,1947.88730019
0.0836735301728,4006.02426321
0.154109156244,189.939449112
0.0946700876743,338.663728636
0.0848366529613,4015.83521781
0.151920860392,968.189122803
0.0770398687958,5532.41528027
0.134288831834,1328.17120275
0.157379029906,4913.35122961
0.127519968793,897.213776087
0.0867796134283,12782.2996962
0.0850149322524,15884.6134701
0.1103334443,3217.32940007
0.114004545879,4350.15152402
0.0990072824493,1687.4634671
0.0829289381716,2927.87105563
0.141626997478,383.599850828
0.0926301375778,379.749169978
0.147842301865,1917.94562562
0.116817550364,2174.75877982
0.103636622274,1102.42140417
0.0778880925589,2925.49410622
0.128144102526,3355.85891523
0.151022466631,490.102011085
0.121528219661,175.644666554
0.115413024622,473.088895362
0.126020319963,617.028443908
0.15578903341,1136.24840985
0.123818508682,4289.42952164
0.138059180639,803.781894131
0.082138035642,1881.63948857
0.125731603212,316.936671506
0.0855568473939,2151.72678867
0.0623751617214,6754.77336762
0.121268856559,350.849437575
0.078906434805,3895.98161441
0.0872310046751,9293.22106863
0.087537102921,257.78020405
0.113038517998,1433.91482635
0.064127687584,4998.19879432
