edges,transError.std.std
264,0.197657005465
288,0.0888341978949
178,0.0536568207547
61,0.0531756045959
92,0.0388866547706
229,0.207135681695
404,0.204774691356
305,0.258492090208
171,0.0429963941514
112,0.0500640527086
104,0.160692173355
82,0.0364422115207
80,0.115579807708
114,0.0370592039719
85,0.0491585794691
69,0.0890782760547
234,0.092571482715
297,0.138087316178
285,0.283472780901
159,0.155756377989
449,0.273444335576
257,0.301796672041
210,0.15137538147
337,1.09223982879
147,0.167680135625
155,0.390698889866
85,0.145785206544
253,0.23374692862
220,0.0547581142166
292,0.0669920319093
287,0.391347667119
189,0.258741211908
562,0.35561401166
437,0.382246016935
303,0.155138806672
356,0.177945288381
75,0.0530782981644
216,0.0549553057413
235,0.21615872905
104,0.0819226964463
320,0.293317732168
321,0.127652611947
128,0.221674636893
211,0.0853392946102
279,0.357301613152
315,0.453233740742
193,0.179230997901
255,0.236587447923
175,0.110170635227
282,0.188751485919
142,0.0621497895481
190,0.0834510200204
146,0.126944549297
265,0.109794391941
170,0.107098494917
263,0.151433371273
166,0.185990376251
192,0.064450068138
172,0.0378693543451
166,0.075847820682
24,0.117333490955
123,0.129796983767
253,0.239664370415
145,0.105334107197
246,0.149483092715
125,0.0596299714663
232,0.141523549212
295,0.294155507688
214,0.0743403423368
469,0.198682666526
195,0.355724934863
248,0.0562958637779
226,0.116143743091
651,0.177137692319
