voronoi_numBifurcationPoints,rotError.std.mean
131,0.0134886818182
162,0.00848306666667
88,0.00990715789474
28,0.00666489285714
44,0.00854714285714
93,0.0154531111111
197,0.0139629166667
146,0.0142382727273
85,0.00927660869565
52,0.00886394594595
48,0.0103236571429
39,0.00831244
38,0.0120980666667
52,0.00902981081081
41,0.0070672
32,0.00862697142857
114,0.0107663448276
145,0.0146358235294
119,0.0153069130435
68,0.00836128571429
195,0.0141560606061
107,0.0130143076923
98,0.0213154358974
126,0.0118386923077
66,0.0129007
58,0.0117434782609
41,0.0171069
125,0.0201348076923
107,0.00883107692308
145,0.00979857575758
141,0.0108434193548
92,0.01273672
268,0.0201676538462
214,0.0242387692308
145,0.0134642666667
178,0.0164263142857
36,0.008347
104,0.0136369583333
117,0.0145126
49,0.0110901538462
160,0.0162626538462
159,0.0139900769231
62,0.0113885652174
102,0.00808025641026
137,0.0127977692308
155,0.0142507037037
94,0.0175852258065
135,0.0131790810811
84,0.0140931785714
144,0.013008
67,0.0124418666667
90,0.01217428
71,0.0113095
126,0.01085984
81,0.013217275
134,0.0138498148148
82,0.00906033333333
94,0.0113865483871
80,0.01360234375
74,0.0114615121951
13,0.00809121428571
58,0.0116139666667
123,0.0140091666667
65,0.0103575555556
121,0.0173899090909
60,0.0105403103448
111,0.0152154583333
148,0.00999909375
101,0.00975977777778
228,0.0581752916667
93,0.00897219230769
119,0.00749868
112,0.00801097368421
324,0.0207175

5-Fold RMSE:,0.00304448198856,0.0107710547896,0.00277465232503,0.00443929230708,0.00443929230708
Average 5-Fold RMSE:,0.00498854262874

5-Fold rsquared:,-0.107536961799,0.256932561526,0.142577698126,-0.732647851424,-0.732647851424
Average 5-Fold rsquared:,-0.106419114173
