voronoi_avg_shortest_path_length,transError.std.std
12.5083333333,0.226872799473
13.3569271611,0.0888341978949
12.912183908,0.0536568207547
5.78474576271,0.0531756045959
9.30294530154,0.0388866547706
12.3206884014,0.156091446153
16.1501124462,0.204774691356
16.4234150966,0.189473879231
14.6480345376,0.0429963941514
12.2139696587,0.0500640527086
11.3142857143,0.160692173355
8.58827160494,0.0364422115207
8.57716049383,0.115579807708
10.682532418,0.0365550743802
7.91540616246,0.0491585794691
8.67536231884,0.0890782760547
16.3656387665,0.0933187599678
14.4232506728,0.138087316178
16.4339661845,0.258353516079
11.5084367246,0.0779121061829
24.0119570496,0.259494989064
14.0247250894,0.214149069586
9.46532338308,0.160472378798
14.9227073619,0.578481679757
8.04121274409,0.14193715639
12.0442237501,0.390698889866
8.04257703081,0.145785206544
17.1090763052,0.196101691352
16.8520773344,0.0540020208264
14.4353595256,0.0639730578518
14.282835877,0.0642383791162
15.3235310498,0.258741211908
17.5499233156,0.131888311652
20.3348066541,0.126072926139
16.2894352159,0.124697260981
17.6897421203,0.192108034661
7.64877192982,0.0517409309399
12.9439687025,0.150426578073
13.0972090374,0.141387393986
9.9010989011,0.0819226964463
16.4454892506,0.284322556163
22.6007609824,0.268748777682
12.4963662791,0.0698040570684
15.6761002031,0.0777311359681
15.0959665481,0.221015525555
15.7765005537,0.170190402896
12.0269053248,0.10685390071
15.4703899487,0.237490765274
11.876818816,0.110170635227
13.9151562839,0.172007018126
12.227715946,0.0621497895481
10.8023779499,0.110615023941
12.8683986774,0.126944549297
17.2478158651,0.109794391941
11.9320570832,0.0809823194632
13.4870361446,0.12386252947
12.3135100709,0.0966363792344
16.7567925048,0.064450068138
12.165374677,0.0692099506632
11.5426798101,0.075847820682
3.74025974026,0.113532147819
12.9842643588,0.129796983767
15.7706882489,0.192206970562
12.4842701937,0.105334107197
13.5300479543,0.145524364411
9.91822222222,0.0596299714663
13.346740213,0.130217601143
12.3785714286,0.0974594238893
13.5930449902,0.0743403423368
20.2936398381,0.167837658831
12.2111532504,0.168709916846
14.8327194292,0.0562958637779
13.2625249684,0.116143743091
21.4998288341,0.206076064429

5-Fold RMSE:,0.0917072146306,0.0671244673821,0.122424710161,0.0650506929549,0.0650506929549
Average 5-Fold RMSE:,0.0776010869011

5-Fold rsquared:,-0.189488397441,0.0239150007016,0.0777693416976,0.120506213629,0.120506213629
Average 5-Fold rsquared:,-0.0364921762211
