voronoi_nodes,rotError.numSamples.std
640,4574.73377354
462,3504.51641908
256,4516.12281977
246,1068.57195671
175,257.853455343
60,141.850142792
93,182.929460449
223,3510.04999446
395,3935.77212331
291,4927.43898941
163,363.803157271
113,147.306005198
105,2626.374729
81,108.084781537
81,1084.0791156
115,183.153742003
85,273.731419461
70,642.991734482
228,702.453163625
289,1510.28589149
278,14727.7449601
156,2308.33572565
431,15286.2712796
244,8108.00744572
201,2866.01159506
337,24073.9681947
140,2219.38941949
154,8919.29941979
85,1725.55951023
250,3228.66340734
221,308.046732032
285,701.623265043
283,12253.024445
190,5103.87888822
530,12190.977691
427,10206.0904135
301,1947.88730019
350,4006.02426321
76,189.939449112
215,2139.14201672
230,4015.83521781
105,968.189122803
316,5532.41528027
295,1328.17120275
129,4913.35122961
211,897.213776087
278,12782.2996962
301,15884.6134701
189,3217.32940007
229,4350.15152402
174,1687.4634671
272,2072.14962693
143,383.599850828
183,2014.30380687
146,1917.94562562
263,2174.75877982
170,1102.42140417
250,2925.49410622
159,3355.85891523
191,490.102011085
172,432.474999277
166,473.088895362
22,606.727838005
124,1136.24840985
253,4289.42952164
146,803.781894131
243,1881.63948857
126,316.936671506
229,2151.72678867
281,5518.65907301
215,350.849437575
194,9293.22106863
246,257.78020405
222,1433.91482635

5-Fold RMSE:,2880.4036675,2351.07327722,6135.27914958,3847.16708779,3847.16708779
Average 5-Fold RMSE:,3736.76762299

5-Fold rsquared:,-0.294417677341,0.228110282871,0.300784244445,0.161188391773,0.161188391773
Average 5-Fold rsquared:,0.0622267031948
