wallRatio,transError.std.std
95.5085578123,0.226872799473
58.5,0.0888341978949
259.861982598,0.0536568207547
79.1568064035,0.0531756045959
156.077544829,0.0388866547706
254.000492126,0.156091446153
107.75,0.204774691356
85.0,0.189473879231
150.372087523,0.0429963941514
116.372247551,0.0500640527086
79.9034139168,0.160692173355
152.105884173,0.0364422115207
140.405128111,0.115579807708
70.2032762768,0.0365550743802
111.803398875,0.0491585794691
52.3333333333,0.0890782760547
159.476547589,0.0933187599678
107.12901101,0.138087316178
75.0,0.258353516079
85.5,0.0779121061829
82.2192191644,0.259494989064
85.6692606611,0.214149069586
146.017550315,0.160472378798
42.5,0.578481679757
40.7940417972,0.14193715639
116.833333333,0.390698889866
54.6829244118,0.145785206544
195.799193881,0.196101691352
52.3630080819,0.0540020208264
72.7590861363,0.0639730578518
137.333434466,0.0642383791162
195.0,0.258741211908
57.795023193,0.131888311652
62.8,0.126072926139
64.1950153828,0.124697260981
47.3333333333,0.192108034661
134.713399482,0.0517409309399
75.894663844,0.150426578073
64.2505870093,0.141387393986
64.8333333333,0.0819226964463
113.5,0.284322556163
59.6003355695,0.268748777682
116.659635642,0.0698040570684
75.5,0.0777311359681
61.75,0.221015525555
119.221642331,0.170190402896
100.215345056,0.10685390071
113.84243497,0.237490765274
100.762716319,0.110170635227
108.5,0.172007018126
61.0,0.0621497895481
69.3375245282,0.110615023941
162.786363065,0.126944549297
60.9924333264,0.109794391941
276.335142736,0.0809823194632
125.858650875,0.12386252947
136.792027631,0.0966363792344
170.018165119,0.064450068138
186.752431278,0.0692099506632
94.2,0.075847820682
121.115647214,0.113532147819
125.858650875,0.129796983767
69.0004528971,0.192206970562
60.5556574923,0.105334107197
54.7144722115,0.145524364411
76.8259771772,0.0596299714663
56.5108006335,0.130217601143
185.4,0.0974594238893
39.8571428571,0.0743403423368
68.2,0.167837658831
88.2524787187,0.168709916846
103.815447111,0.0562958637779
359.666821131,0.116143743091
82.25,0.206076064429

5-Fold RMSE:,0.0750193538095,0.0549489305124,0.0571144913132,0.137596744502,0.137596744502
Average 5-Fold RMSE:,0.0825198966333

5-Fold rsquared:,-0.0254769079906,0.0313323020217,-0.00547394545655,-0.399880254034,-0.399880254034
Average 5-Fold rsquared:,-0.079729014723
