wallRatio,transError.mean.std
95.5085578123,0.128810550931
58.5,0.0626106276575
259.861982598,0.0363222141704
79.1568064035,0.0240230927776
156.077544829,0.0231752964896
254.000492126,0.12471567563
107.75,0.118403445404
85.0,0.105974371826
150.372087523,0.0468835943002
116.372247551,0.0525575836354
79.9034139168,0.0652650350355
152.105884173,0.0380406378831
140.405128111,0.048698079138
70.2032762768,0.0465531383268
111.803398875,0.015699391456
52.3333333333,0.0795487657361
159.476547589,0.0609893108178
107.12901101,0.0634488000674
75.0,0.121656676099
85.5,0.108765944747
82.2192191644,0.116482183881
85.6692606611,0.123971354033
146.017550315,0.117014135854
42.5,0.093854286797
40.7940417972,0.0949115380575
116.833333333,0.113382526137
54.6829244118,0.0940625752148
195.799193881,0.143229486163
52.3630080819,0.0476951664389
72.7590861363,0.0815122877936
137.333434466,0.0482871281887
195.0,0.109859637786
57.795023193,0.0815752280843
62.8,0.0639775660122
64.1950153828,0.0966037993107
47.3333333333,0.130209711384
134.713399482,0.0344430098623
75.894663844,0.0825251437691
64.2505870093,0.0787229033116
64.8333333333,0.0703616797672
113.5,0.136893046155
59.6003355695,0.131748844655
116.659635642,0.0638479804609
75.5,0.0832238780337
61.75,0.112655965246
119.221642331,0.0882750414235
100.215345056,0.0630703094014
113.84243497,0.0904968358626
100.762716319,0.0844506183324
108.5,0.0812632064472
61.0,0.0478290808047
69.3375245282,0.0665534059179
162.786363065,0.063039235743
60.9924333264,0.0862053699096
276.335142736,0.0951669768786
125.858650875,0.0936298052555
136.792027631,0.083845172989
170.018165119,0.067525357097
186.752431278,0.0711609699581
94.2,0.0754858045801
121.115647214,0.0666286445176
125.858650875,0.06593977187
69.0004528971,0.119219125795
60.5556574923,0.060063217006
54.7144722115,0.0967598598958
76.8259771772,0.0600886637503
56.5108006335,0.103345628507
185.4,0.0960266591481
39.8571428571,0.0554747715395
68.2,0.117509395197
88.2524787187,0.0976733690521
103.815447111,0.0490437767207
359.666821131,0.0852449136299
82.25,0.18024925237

5-Fold RMSE:,0.0255885347638,0.0350921135937,0.0450046978012,0.0253998884276,0.0253998884276
Average 5-Fold RMSE:,0.0321764483602

5-Fold rsquared:,-0.198714072161,-0.0860903847193,-0.0178925564822,-0.0808831923852,-0.0808831923852
Average 5-Fold rsquared:,-0.111064380232
