topology_density,transError.std.std
0.090756302521,0.210038240515
0.0557491289199,0.167837658831
0.0585365853659,0.230568556601
0.106666666667,0.0888341978949
0.166666666667,0.0536568207547
0.222222222222,0.0531756045959
0.181818181818,0.0388866547706
0.0582793709528,0.207135681695
0.0611664295875,0.204774691356
0.0942028985507,0.258492090208
0.134502923977,0.0429963941514
0.133333333333,0.0500640527086
0.117647058824,0.160692173355
0.142857142857,0.0364422115207
0.183333333333,0.115579807708
0.158333333333,0.0370592039719
0.171428571429,0.0491585794691
0.125,0.0890782760547
0.1,0.0933187599678
0.666666666667,0.138087316178
0.0619796484736,0.283472780901
0.122807017544,0.155756377989
0.0542635658915,0.431148459783
0.0984615384615,0.301796672041
0.100985221675,0.15137538147
0.0659536541889,1.02365065259
0.105263157895,0.167680135625
0.1,0.390698889866
0.105263157895,0.145785206544
0.0827586206897,0.23374692862
0.0630630630631,0.0547581142166
0.0690690690691,0.0669920319093
0.0655462184874,0.391347667119
0.08,0.258741211908
0.0460829493088,0.35561401166
0.0550724637681,0.382246016935
0.0505319148936,0.155138806672
0.0475113122172,0.177945288381
0.166666666667,0.0530782981644
0.0602564102564,0.150426578073
0.070564516129,0.21615872905
0.117647058824,0.0819226964463
0.0592334494774,0.293317732168
0.0909090909091,0.127652611947
0.109523809524,0.221674636893
0.0570048309179,0.0853392946102
0.0689655172414,0.357301613152
0.0641025641026,0.453233740742
0.0826210826211,0.179230997901
0.111111111111,0.236587447923
0.15,0.110170635227
0.0911680911681,0.172007018126
0.0952380952381,0.0621497895481
0.110526315789,0.171951321611
0.102766798419,0.126944549297
0.0611664295875,0.109794391941
0.0905797101449,0.107098494917
0.0866666666667,0.151433371273
0.105263157895,0.185990376251
0.0712643678161,0.064450068138
0.0952380952381,0.0692099506632
0.125,0.075847820682
0.105263157895,0.115451416633
0.117647058824,0.129796983767
0.0621848739496,0.239664370415
0.0952380952381,0.105334107197
0.0804597701149,0.149483092715
0.141666666667,0.0596299714663
0.0585585585586,0.141523549212
0.0773109243697,0.242795647909
0.141666666667,0.0743403423368
0.0978260869565,0.355724934863
0.122807017544,0.0562958637779
0.0804597701149,0.116143743091

5-Fold RMSE:,0.102536657813,0.252568649965,0.09656153358,0.281055579196,0.281055579196
Average 5-Fold RMSE:,0.163614270681

5-Fold rsquared:,0.0658517115484,0.170774706364,-0.0353006502524,-11.1614545743,-11.1614545743
Average 5-Fold rsquared:,-2.26652990739
