area,rotError.std.mean
3629.2829625,0.0136865652174
3749.9122125,0.00848306666667
515.11,0.00990715789474
92.620625,0.00666489285714
419.118560455,0.00854714285714
268.7265625,0.0155064516129
2711.72494554,0.0139629166667
1020.60351562,0.0146126956522
1120.46556127,0.00927660869565
441.159665625,0.00886394594595
768.704681585,0.0103236571429
375.53625,0.00831244
214.91426475,0.0120980666667
626.622469523,0.00897186111111
121.8046875,0.0070672
1233.26750596,0.00862697142857
2003.5,0.0111955416667
1244.54759766,0.0146358235294
279.4009375,0.0165645
256.2996875,0.00871552173913
434.9653125,0.0142774482759
397.378125,0.0177865357143
300.230625,0.0435829285714
325.31,0.01847425
231.629375,0.0134678235294
235.2825,0.0117434782609
547.4859375,0.0171069
1196.88557207,0.0210941176471
322.763125,0.00869485714286
1235.16935698,0.00991634782609
1486.08538919,0.0162976363636
5351.94959335,0.01273672
1312.1154,0.0216128148148
1269.8764875,0.0267318666667
290.0184375,0.014787
704.7703125,0.01558596875
323.6559375,0.00887017391304
786.936585364,0.0132185
1276.3958515,0.0158112592593
1203.42228531,0.0110901538462
774.963125,0.016004875
786.40125,0.0116140454545
1054.32679687,0.0131456666667
1224.61670978,0.012016
2419.47625,0.0138605172414
1934.39945026,0.0208444333333
852.118300775,0.0209096857143
2354.8528125,0.0136826097561
1177.07375,0.0140931785714
3249.62426032,0.0134039285714
654.106850714,0.0124418666667
657.353612623,0.0149295555556
1073.86429004,0.0113095
2396.76446011,0.01085984
1041.21327443,0.0133554761905
1933.90139917,0.0143581333333
1647.76381253,0.00947095238095
1218.21311288,0.0113865483871
566.726642893,0.0149370666667
566.381786317,0.0114615121951
2313.45559827,0.00805719230769
1184.450625,0.0116139666667
459.930625,0.01513984375
1119.8547,0.0103575555556
734.15,0.0177405833333
534.7525,0.0105403103448
1631.6725,0.0159079615385
365.2209375,0.0123346818182
460.9959375,0.00975977777778
707.949375,0.0120594285714
1710.57095749,0.0112861428571
739.903125,0.00749868
2306.9446875,0.00801097368421
441.6625,0.0182204166667
