voronoi_std_betweenness_centrality,rotError.std.std
0.0746543812721,0.00570813314798
0.062851196191,0.00238204213415
0.120555286217,0.00443794731193
0.134588707592,0.00221181244909
0.157081183686,0.00124875791759
0.0702608079073,0.00692890029398
0.0724914959019,0.00526352379524
0.115339067677,0.00916339305052
0.140816589884,0.00109827381314
0.16805134529,0.001820392131
0.169705907227,0.0115835540733
0.148425240047,0.00242628577179
0.160579833031,0.00881799279479
0.154942199063,0.00156947572306
0.119327588971,0.00133593491358
0.175548202855,0.0033034977955
0.127445753524,0.00427790386373
0.0828370625069,0.010818340273
0.0894050902149,0.0073614093577
0.0939366873161,0.0020421627691
0.0913729694687,0.00882900353326
0.0739055320019,0.0056069691509
0.076293463043,0.00964521917124
0.0958990178296,0.0102373131119
0.0830023467368,0.00694223066048
0.138718645002,0.00719629727175
0.117196701992,0.00729724936466
0.108306665569,0.00941862106525
0.141828214583,0.00165015637774
0.0756330969252,0.00327309840264
0.0762021693546,0.00344135860057
0.140770979315,0.00431503222254
0.0511046648544,0.00820748297377
0.0862567077224,0.038374045582
0.0952789524029,0.00800000789555
0.0836735301728,0.00653686665775
0.154109156244,0.0030003076901
0.0946700876743,0.00533292057631
0.0848366529613,0.00671912860422
0.151920860392,0.00480609803905
0.0770398687958,0.00899802736477
0.134288831834,0.00879950207474
0.157379029906,0.0034406223505
0.127519968793,0.00161564506
0.0867796134283,0.00646094092521
0.0850149322524,0.00512121237682
0.1103334443,0.00772600753931
0.114004545879,0.00810460207062
0.0990072824493,0.00596216482169
0.0829289381716,0.00468461053166
0.141626997478,0.00290363576381
0.0926301375778,0.00727200671353
0.147842301865,0.00593740494427
0.116817550364,0.0031691424541
0.103636622274,0.00360718859354
0.0778880925589,0.00760278416857
0.128144102526,0.00281495176744
0.151022466631,0.00295568783369
0.121528219661,0.00587875703598
0.115413024622,0.00492444947089
0.126020319963,0.00274550707465
0.15578903341,0.00668196581096
0.123818508682,0.00693703706243
0.138059180639,0.00651974844058
0.082138035642,0.0105001485137
0.125731603212,0.00348419817228
0.0855568473939,0.00672065780498
0.0623751617214,0.00427584456832
0.121268856559,0.0034764729288
0.078906434805,0.218382402573
0.0872310046751,0.0062202472559
0.087537102921,0.00201918335413
0.113038517998,0.00303309851547
0.064127687584,0.00630615992045

5-Fold RMSE:,0.0093939112561,0.00842061169631,0.00513993283629,0.00434147267727,0.00434147267727
Average 5-Fold RMSE:,0.0167562331733

5-Fold rsquared:,0.197417239503,-0.0632798255039,-6.94767915003,-1.54312948495,-1.54312948495
Average 5-Fold rsquared:,-3.21152804624
