voronoi_std_betweenness_centrality,rotError.numSamples.std
0.0746543812721,4496.65449768
0.062851196191,1068.57195671
0.120555286217,257.853455343
0.134588707592,141.850142792
0.157081183686,182.929460449
0.0702608079073,2244.05747734
0.0724914959019,3935.77212331
0.115339067677,2874.5710625
0.140816589884,363.803157271
0.16805134529,147.306005198
0.169705907227,2626.374729
0.148425240047,108.084781537
0.160579833031,1084.0791156
0.154942199063,180.818284498
0.119327588971,273.731419461
0.175548202855,642.991734482
0.127445753524,702.453163625
0.0828370625069,1510.28589149
0.0894050902149,14872.7918784
0.0939366873161,720.79837633
0.0913729694687,9225.92445392
0.0739055320019,3023.39259484
0.076293463043,2651.41884337
0.0958990178296,24043.8800652
0.0830023467368,1616.41335473
0.138718645002,8919.29941979
0.117196701992,1725.55951023
0.108306665569,1863.36560045
0.141828214583,624.17813537
0.0756330969252,620.469279434
0.0762021693546,857.003410118
0.140770979315,5103.87888822
0.0511046648544,1966.19530209
0.0862567077224,1057.23261059
0.0952789524029,1483.83345876
0.0836735301728,3961.17166175
0.154109156244,165.786311893
0.0946700876743,2139.14201672
0.0848366529613,1428.99660238
0.151920860392,968.189122803
0.0770398687958,5433.37490878
0.134288831834,3842.62601996
0.157379029906,1817.05743137
0.127519968793,691.528513091
0.0867796134283,8506.08116752
0.0850149322524,3722.68290681
0.1103334443,1936.04140841
0.114004545879,4393.41939757
0.0990072824493,1687.4634671
0.0829289381716,2072.14962693
0.141626997478,383.599850828
0.0926301375778,786.667567909
0.147842301865,1917.94562562
0.116817550364,2174.75877982
0.103636622274,748.389444073
0.0778880925589,2608.69783514
0.128144102526,1354.24201138
0.151022466631,490.102011085
0.121528219661,432.474999277
0.115413024622,473.088895362
0.126020319963,597.094712473
0.15578903341,1136.24840985
0.123818508682,3100.93252085
0.138059180639,803.781894131
0.082138035642,1700.53022844
0.125731603212,316.936671506
0.0855568473939,2065.32399555
0.0623751617214,1024.40711512
0.121268856559,350.849437575
0.078906434805,3504.51641908
0.0872310046751,2631.23148885
0.087537102921,257.78020405
0.113038517998,1433.91482635
0.064127687584,4268.01882728

5-Fold RMSE:,1780.46882826,3372.76661196,2272.02954032,5745.07632698,5745.07632698
Average 5-Fold RMSE:,3112.77853817

5-Fold rsquared:,-0.0115414035819,0.00178665460675,-0.0129703375477,0.005793300966,0.005793300966
Average 5-Fold rsquared:,0.00473854553738
