topology_nodes,rotError.numSamples.std
41,4496.65449768
25,1068.57195671
13,257.853455343
10,141.850142792
12,182.929460449
47,2244.05747734
38,3935.77212331
24,2874.5710625
19,363.803157271
15,147.306005198
17,2626.374729
15,108.084781537
16,1084.0791156
16,180.818284498
15,273.731419461
16,642.991734482
25,702.453163625
3,1510.28589149
47,14872.7918784
19,720.79837633
43,9225.92445392
26,3023.39259484
29,2651.41884337
34,24043.8800652
19,1616.41335473
20,8919.29941979
19,1725.55951023
30,1863.36560045
37,624.17813537
37,620.469279434
35,857.003410118
25,5103.87888822
63,1966.19530209
46,1057.23261059
48,1483.83345876
52,3961.17166175
13,165.786311893
40,2139.14201672
32,1428.99660238
17,968.189122803
42,5433.37490878
23,3842.62601996
21,1817.05743137
46,691.528513091
30,8506.08116752
40,3722.68290681
27,1936.04140841
19,4393.41939757
16,1687.4634671
27,2072.14962693
21,383.599850828
20,786.667567909
23,1917.94562562
38,2174.75877982
24,748.389444073
25,2608.69783514
20,1354.24201138
30,490.102011085
22,432.474999277
16,473.088895362
19,597.094712473
17,1136.24840985
35,3100.93252085
21,803.781894131
30,1700.53022844
16,316.936671506
37,2065.32399555
35,1024.40711512
16,350.849437575
42,3504.51641908
24,2631.23148885
19,257.78020405
30,1433.91482635
35,4268.01882728

5-Fold RMSE:,2117.50976894,3128.55426344,5568.73563866,3045.03552322,3045.03552322
Average 5-Fold RMSE:,3138.41990504

5-Fold rsquared:,0.215230460269,0.0365956466624,0.143739876637,0.0935195898419,0.0935195898419
Average 5-Fold rsquared:,0.108906452628
