voronoi_nodes,rotError.std.std
640,0.00568699616952
462,0.218382402573
256,0.00580885788305
246,0.00238204213415
175,0.00443794731193
60,0.00221181244909
93,0.00124875791759
223,0.00670812510145
395,0.00526352379524
291,0.00913242766636
163,0.00109827381314
113,0.001820392131
105,0.0115835540733
81,0.00242628577179
81,0.00881799279479
115,0.00155158807808
85,0.00133593491358
70,0.0033034977955
228,0.00427790386373
289,0.010818340273
278,0.00939720652641
156,0.00241009476396
431,0.0296182606338
244,0.0239013077489
201,0.0967031592699
337,0.0220331329296
140,0.00693154786835
154,0.00719629727175
85,0.00729724936466
250,0.00928123177602
221,0.00146296711826
285,0.00345204746565
283,0.0235237306324
190,0.00431503222254
530,0.0109164373752
427,0.0384564311949
301,0.0101640285899
350,0.0060490277033
76,0.00237160519209
215,0.00533292057631
230,0.00798833628714
105,0.00480609803905
316,0.00931314053418
295,0.0035854966117
129,0.0090749635613
211,0.00197943739482
278,0.00752716726779
301,0.0245157322818
189,0.0131644023743
229,0.00816947942897
174,0.00596216482169
272,0.00468461053166
143,0.00290363576381
183,0.00664701953873
146,0.00593740494427
263,0.0031691424541
170,0.00408505580913
250,0.0074098626606
159,0.00358325893136
191,0.00295568783369
172,0.00587875703598
166,0.00492444947089
22,0.00279567043769
124,0.00668196581096
253,0.00806206474837
146,0.00651974844058
243,0.0102982308024
126,0.00348419817228
229,0.00773341395644
281,0.00606781674054
215,0.0034764729288
194,0.0129904271285
246,0.00201918335413
222,0.00303309851547

5-Fold RMSE:,0.0248127923301,0.00902636248339,0.0523003917109,0.00784267126793,0.00784267126793
Average 5-Fold RMSE:,0.0219633691889

5-Fold rsquared:,-0.000493814372753,-1.21831521449,0.272987738808,-1.61195631843,-1.61195631843
Average 5-Fold rsquared:,-0.63399541013
