avgRoomPerimeter,transError.std.mean
1364.92084998,0.610577304348
2504.05291544,0.3833542
397.608743609,0.198447578947
158.574001973,0.12269
635.88614888,0.153758035714
108.968542951,0.492268548387
1528.34984877,0.531760416667
759.248936383,0.440496478261
907.63600807,0.30601326087
529.397177254,0.133319189189
720.429585269,0.194677542857
443.595373769,0.11035772
231.338538533,0.139761666667
655.562672363,0.178345722222
162.29472605,0.2198439
1446.42707976,0.243437428571
1054.23420007,0.273808166667
539.066583437,0.338521882353
99.2869208384,0.61062825
252.355785617,0.359939652174
191.722481992,0.588087103448
379.091758694,0.628137071429
262.262352826,0.443055071429
191.601876363,0.999427916667
294.819744545,0.398797941176
252.559291854,0.690604043478
632.972242461,0.404276533333
707.007128463,0.493052294118
152.416788175,0.232889238095
511.089909024,0.221677130435
855.595083334,0.341540409091
3522.51982697,0.65674012
345.9363477,0.423536259259
650.998139899,0.4465398
120.176589697,0.306929823529
264.066070953,0.480697125
462.675505543,0.108247869565
381.143373035,0.1948145
758.966768091,0.405104185185
1344.71238759,0.273577115385
351.259423682,0.694026083333
575.918221531,0.480950272727
973.132170798,0.326498583333
557.871193445,0.4142652
1503.33670222,0.500458896552
774.553634232,0.625794366667
555.98246505,0.379335257143
2161.19207626,0.487031439024
1410.68850812,0.309707785714
2284.5563757,0.515047357143
511.212845367,0.218116833333
630.752429175,0.219631666667
894.483397546,0.310407555556
1099.36562113,0.50208644
630.451496107,0.3024675
1194.83545134,0.464581966667
1792.08753811,0.379500214286
525.16858287,0.286365322581
391.018440217,0.206892133333
645.16136179,0.171382926829
2075.92330798,0.324577269231
1164.69698299,0.287927933333
248.223687618,0.50571615625
874.059231919,0.224714148148
470.90808455,0.500257916667
527.296427239,0.153626448276
844.944967104,0.398803653846
219.335679185,0.389266045455
558.011810887,0.203370592593
288.41201767,0.525956928571
1406.85593365,0.304974964286
682.400594462,0.17280424
2023.67071564,0.366907921053
112.337263592,0.741109166667
