voronoi_radius,transError.numSamples.mean
27,8502.88888889
29,4291.20833333
14,5073.26086957
18,2208.2
15,533.736842105
6,281.035714286
11,375.75
19,3820.06451613
20,4729.04166667
19,3357.30434783
20,1109.95652174
16,244.540540541
14,830.8
10,180.0
10,450.733333333
13,457.388888889
9,628.1
10,954.971428571
20,914.034482759
19,2059.76470588
21,8900.875
16,2142.7826087
40,9951.88235294
22,5881.21428571
11,3028.03571429
16,12817.0714286
9,2496.67647059
14,8121.34782609
12,2459.1
23,3998.88235294
22,716.857142857
19,843.47826087
17,3702.36363636
18,6648.12
23,4365.44444444
28,4280.06666667
21,1701.35294118
22,3879.09375
8,189.695652174
17,1054.375
18,2765.85185185
12,1206.76923077
20,6532.5
26,3173.27272727
17,2456.83333333
22,2281.8
20,6061.31034483
20,8307.2
14,2598.6
20,3927.24390244
14,1492.89285714
16,3379.41666667
16,655.766666667
12,964.583333333
17,1611.27777778
23,3842.36
18,1384.0
16,3280.36666667
14,2484.47619048
23,1119.77419355
15,581.0
14,510.341463415
4,1274.18518519
16,1420.46666667
19,4234.0625
14,754.666666667
19,3208.20833333
13,407.793103448
18,2487.5
15,2474.48571429
18,609.074074074
16,2976.25
20,461.08
15,1971.81578947

5-Fold RMSE:,2338.52218523,2976.69077912,2228.11885973,1780.84203387,1780.84203387
Average 5-Fold RMSE:,2265.03215745

5-Fold rsquared:,0.168495139381,0.501373614386,0.190034863375,-0.45446048243,-0.45446048243
Average 5-Fold rsquared:,0.12073914442
