topology_edges,rotError.numSamples.std
48,4496.65449768
32,1068.57195671
13,257.853455343
10,141.850142792
12,182.929460449
63,2244.05747734
43,3935.77212331
26,2874.5710625
23,363.803157271
14,147.306005198
16,2626.374729
15,108.084781537
22,1084.0791156
19,180.818284498
18,273.731419461
15,642.991734482
30,702.453163625
2,1510.28589149
67,14872.7918784
21,720.79837633
49,9225.92445392
32,3023.39259484
41,2651.41884337
37,24043.8800652
18,1616.41335473
19,8919.29941979
18,1725.55951023
36,1863.36560045
42,624.17813537
46,620.469279434
39,857.003410118
24,5103.87888822
90,1966.19530209
57,1057.23261059
57,1483.83345876
63,3961.17166175
13,165.786311893
47,2139.14201672
35,1428.99660238
16,968.189122803
51,5433.37490878
23,3842.62601996
23,1817.05743137
59,691.528513091
30,8506.08116752
50,3722.68290681
29,1936.04140841
19,4393.41939757
18,1687.4634671
32,2072.14962693
20,383.599850828
21,786.667567909
26,1917.94562562
43,2174.75877982
25,748.389444073
26,2608.69783514
20,1354.24201138
31,490.102011085
22,432.474999277
15,473.088895362
18,597.094712473
16,1136.24840985
37,3100.93252085
20,803.781894131
35,1700.53022844
17,316.936671506
39,2065.32399555
46,1024.40711512
17,350.849437575
48,3504.51641908
27,2631.23148885
21,257.78020405
35,1433.91482635
54,4268.01882728

5-Fold RMSE:,3264.23643694,5887.21450986,1105.04454781,2775.94361838,2775.94361838
Average 5-Fold RMSE:,2941.281241

5-Fold rsquared:,-0.392857108397,-0.0943271692436,0.00284254109637,0.219785963902,0.219785963902
Average 5-Fold rsquared:,-0.0327005852382
