perimeter,rotError.mean.mean
919.385854688,0.00781177272727
845.094809668,0.00518106666667
400.830204991,0.00745268421053
104.798400009,0.00380332142857
297.255462487,0.00530514285714
175.184877189,0.0108654444444
975.710287307,0.0100377916667
661.864870045,0.00976259090909
461.959330453,0.00654347826087
301.700928702,0.00574740540541
395.362041332,0.0063216
266.76921056,0.00609472
190.183623926,0.00695146666667
384.28900186,0.00530697297297
169.305586218,0.00419643333333
547.895428741,0.00586774285714
663.883925852,0.0080334137931
569.465956684,0.00957582352941
277.253593842,0.0113755652174
186.385475943,0.00664728571429
266.853191731,0.00940933333333
251.520417083,0.00862580769231
217.978099666,0.0175163076923
413.568733758,0.00585915384615
161.46910584,0.0080592
333.320883456,0.00719391304348
348.726342602,0.0116620333333
582.414195881,0.0185035384615
416.287346717,0.00794823076923
602.450956601,0.00808536363636
625.529006956,0.00828783870968
1411.67024864,0.0090522
687.006424965,0.0130484230769
804.802666284,0.0102915384615
325.157616123,0.0115043333333
394.105092531,0.0112823142857
254.907573617,0.00535094117647
512.058047582,0.0116517083333
574.390274931,0.00985292
577.749460923,0.00736969230769
462.202334131,0.0124235769231
542.151199633,0.0109033461538
607.353417602,0.00870517391304
895.078361009,0.00633515384615
810.652971073,0.0100060769231
791.247099826,0.00994803703704
523.504495381,0.0114515483871
642.501394841,0.00746737837838
438.695516966,0.0102650357143
921.061208435,0.0086655
425.51985706,0.0111931666667
383.553654629,0.00878128
611.004216827,0.00787177777778
1094.05395026,0.0083908
396.724658884,0.013150075
623.982104305,0.0103568888889
673.355919531,0.00629451282051
614.642509546,0.0100887741935
383.053807066,0.0114415
377.554649486,0.0108286829268
798.372831181,0.00529
541.589338691,0.0074369
479.641424654,0.0108653666667
562.534496366,0.00650085185185
398.050280897,0.0107349090909
346.945664463,0.00662575862069
629.847164937,0.0108217916667
243.197749682,0.00683478125
431.988152916,0.00717885185185
476.307895935,0.0361834583333
609.954365264,0.00648584615385
446.124179764,0.00584372
1033.37498647,0.0060295
383.710764507,0.0163589615385

5-Fold RMSE:,0.00301440074894,0.00242971167131,0.00786767600541,0.00330038829359,0.00330038829359
Average 5-Fold RMSE:,0.00374240457313

5-Fold rsquared:,-1.08622202703,-0.0328963887126,-0.313402262784,-0.00395434906315,-0.00395434906315
Average 5-Fold rsquared:,-0.308752756597
