topology_density,transError.mean.mean
0.090756302521,0.616674277778
0.0557491289199,0.513207166667
0.0585365853659,0.511799
0.106666666667,0.347489733333
0.166666666667,0.178033842105
0.222222222222,0.111519571429
0.181818181818,0.135674892857
0.0582793709528,0.567853258065
0.0611664295875,0.483538
0.0942028985507,0.364766782609
0.134502923977,0.266804521739
0.133333333333,0.136014027027
0.117647058824,0.1602634
0.142857142857,0.11330008
0.183333333333,0.120517266667
0.158333333333,0.168592444444
0.171428571429,0.1753349
0.125,0.250973828571
0.1,0.255138206897
0.666666666667,0.275744352941
0.0619796484736,0.572332
0.122807017544,0.401876478261
0.0542635658915,0.667381558824
0.0984615384615,0.601016714286
0.100985221675,0.428635214286
0.0659536541889,0.534300857143
0.105263157895,0.392818764706
0.1,0.511895521739
0.105263157895,0.3828526
0.0827586206897,0.480142294118
0.0630630630631,0.200632047619
0.0690690690691,0.214672086957
0.0655462184874,0.310588818182
0.08,0.63580396
0.0460829493088,0.357241074074
0.0550724637681,0.322165133333
0.0505319148936,0.302912058824
0.0475113122172,0.44758759375
0.166666666667,0.0879599565217
0.0602564102564,0.224303125
0.070564516129,0.388622
0.117647058824,0.297397730769
0.0592334494774,0.663971375
0.0909090909091,0.551063954545
0.109523809524,0.31300125
0.0570048309179,0.4318884
0.0689655172414,0.465919793103
0.0641025641026,0.471419
0.0826210826211,0.317696542857
0.111111111111,0.366169390244
0.15,0.301987178571
0.0911680911681,0.381142583333
0.0952380952381,0.2053401
0.110526315789,0.189486166667
0.102766798419,0.273704222222
0.0611664295875,0.42013416
0.0905797101449,0.323464547619
0.0866666666667,0.429869033333
0.105263157895,0.367336428571
0.0712643678161,0.283932129032
0.0952380952381,0.19405875
0.125,0.191225219512
0.105263157895,0.285231925926
0.117647058824,0.3031
0.0621848739496,0.475740875
0.0952380952381,0.236201074074
0.0804597701149,0.54542925
0.141666666667,0.154262137931
0.0585585585586,0.423788730769
0.0773109243697,0.337108057143
0.141666666667,0.189719777778
0.0978260869565,0.29107
0.122807017544,0.17891308
0.0804597701149,0.367190842105

5-Fold RMSE:,0.121252620089,0.367782791059,0.131950171925,0.166807951765,0.166807951765
Average 5-Fold RMSE:,0.184773383056

5-Fold rsquared:,-6.37202130708,0.112873872609,0.177003493343,0.209724838941,0.209724838941
Average 5-Fold rsquared:,-1.14975433472
