diameter,transError.mean.std
28,0.145382176939
36,0.0626106276575
29,0.0363222141704
11,0.0240230927776
22,0.0231752964896
26,0.244942705536
39,0.118403445404
38,0.25684750383
39,0.0468835943002
31,0.0525575836354
27,0.0652650350355
19,0.0380406378831
19,0.048698079138
26,0.0471928668924
16,0.015699391456
20,0.0795487657361
39,0.0564341131084
38,0.0634488000674
41,0.157331633444
24,0.225853461955
51,0.120880204555
44,0.192289958812
21,0.0925116985357
31,0.182870156349
18,0.150862439925
27,0.113382526137
16,0.0940625752148
45,0.228409668405
43,0.0484971177734
37,0.0700468458533
30,0.287812908678
36,0.109859637786
44,0.30823195051
55,0.251954545215
38,0.158847840005
41,0.112238353718
15,0.0402882774962
28,0.0467955533351
31,0.1264444763
24,0.0703616797672
39,0.114763250904
51,0.0896356459078
34,0.185040710074
43,0.14370205831
34,0.281651273406
40,0.217198105027
28,0.0868164172079
40,0.121972989288
24,0.0844506183324
31,0.112880779061
31,0.0478290808047
23,0.0419657032537
33,0.063039235743
45,0.0862053699096
26,0.123650418782
31,0.166220167829
27,0.205108169667
46,0.067525357097
30,0.0423677614464
28,0.0754858045801
8,0.0677220225742
31,0.06593977187
38,0.17018166168
28,0.060063217006
31,0.14039673261
25,0.0600886637503
32,0.141798879212
27,0.313625308616
35,0.0554747715395
49,0.114621750347
30,0.22720282762
35,0.0490437767207
29,0.0852449136299
52,0.138300771799
