numBifurcationPoints,transError.std.mean
131,0.610577304348
162,0.3833542
88,0.198447578947
28,0.12269
44,0.153758035714
93,0.492268548387
197,0.531760416667
146,0.440496478261
85,0.30601326087
52,0.133319189189
48,0.194677542857
39,0.11035772
38,0.139761666667
52,0.178345722222
41,0.2198439
32,0.243437428571
114,0.273808166667
145,0.338521882353
119,0.61062825
68,0.359939652174
195,0.588087103448
107,0.628137071429
98,0.443055071429
126,0.999427916667
66,0.398797941176
58,0.690604043478
41,0.404276533333
125,0.493052294118
107,0.232889238095
145,0.221677130435
141,0.341540409091
92,0.65674012
268,0.423536259259
214,0.4465398
145,0.306929823529
178,0.480697125
36,0.108247869565
104,0.1948145
117,0.405104185185
49,0.273577115385
160,0.694026083333
159,0.480950272727
62,0.326498583333
102,0.4142652
137,0.500458896552
155,0.625794366667
94,0.379335257143
135,0.487031439024
84,0.309707785714
144,0.515047357143
67,0.218116833333
90,0.219631666667
71,0.310407555556
126,0.50208644
81,0.3024675
134,0.464581966667
82,0.379500214286
94,0.286365322581
80,0.206892133333
74,0.171382926829
13,0.324577269231
58,0.287927933333
123,0.50571615625
65,0.224714148148
121,0.500257916667
60,0.153626448276
111,0.398803653846
148,0.389266045455
101,0.203370592593
228,0.525956928571
93,0.304974964286
119,0.17280424
112,0.366907921053
324,0.741109166667
