std_katz_centrality,transError.mean.mean
0.0624731549568,0.507673043478
0.063752172964,0.347489733333
0.0754900972952,0.178033842105
0.129091206881,0.111519571429
0.102657659336,0.135674892857
0.0661008951017,0.567853258065
0.0502704418861,0.483538
0.0586127538334,0.364766782609
0.0780340421936,0.266804521739
0.0939892490074,0.136014027027
0.0975397092036,0.1602634
0.111014569034,0.11330008
0.110099823171,0.120517266667
0.0929712298051,0.168592444444
0.108205660452,0.1753349
0.119112086547,0.250973828571
0.0659829233406,0.267063583333
0.0585913436971,0.275744352941
0.0598248730876,0.572332
0.0772516261558,0.401876478261
0.048109504833,0.554770068966
0.0637167667236,0.601016714286
0.0692008974402,0.428635214286
0.0544424123813,0.545607833333
0.0841168072726,0.392818764706
0.0797494568412,0.511895521739
0.106868056324,0.3828526
0.0631905584655,0.480142294118
0.0669254864612,0.200632047619
0.059006633997,0.214672086957
0.0592550204987,0.310588818182
0.0714572904211,0.63580396
0.0434370069683,0.357241074074
0.0483911660079,0.322165133333
0.0575331907477,0.302912058824
0.0534243204259,0.44758759375
0.114707065441,0.0879599565217
0.0680103608451,0.20017225
0.0658075265519,0.388622
0.0968684562829,0.297397730769
0.0561712509096,0.663971375
0.0581987476898,0.551063954545
0.0879679595136,0.31300125
0.0683610410463,0.4318884
0.0597913687418,0.465919793103
0.0575400519371,0.471419
0.0725973866224,0.317696542857
0.0657233059386,0.366169390244
0.0755615846501,0.301987178571
0.060574938632,0.400407571429
0.0835822171484,0.2053401
0.0738591884147,0.194334555556
0.0824780523605,0.273704222222
0.0616037184567,0.42013416
0.0755455798348,0.323464547619
0.062966882775,0.429869033333
0.0788806200449,0.367336428571
0.0722201300189,0.283932129032
0.0761861508636,0.224394466667
0.0773264365088,0.191225219512
0.204263905889,0.285115615385
0.0891668487181,0.3031
0.0628086114111,0.475740875
0.0823513570222,0.236201074074
0.0641495247308,0.54542925
0.089069884571,0.154262137931
0.066034753817,0.423788730769
0.0594085046862,0.381827136364
0.0680457197775,0.189719777778
0.0464069089952,0.489469857143
0.0713808637398,0.29107
0.0637154343161,0.17891308
0.0671155361255,0.367190842105
0.0394800592855,0.55025675
