voronoi_avg_betweenness_centrality,rotError.std.mean
0.0453083989501,0.0134886818182
0.0506431441029,0.00848306666667
0.0688565543818,0.00990715789474
0.0824956165985,0.00666489285714
0.0912411571598,0.00854714285714
0.0512248343955,0.0154531111111
0.0385499044432,0.0139629166667
0.0533682183273,0.0142382727273
0.0847704008547,0.00927660869565
0.101026753682,0.00886394594595
0.100138696255,0.0103236571429
0.0960540709486,0.00831244
0.0959134239725,0.0120980666667
0.0856861275929,0.00902981081081
0.0833181465357,0.0070672
0.112872975277,0.00862697142857
0.0679895520642,0.0107663448276
0.0467709082677,0.0146358235294
0.055920167335,0.0153069130435
0.0682366021076,0.00836128571429
0.0536409255235,0.0141560606061
0.0538211780553,0.0130143076923
0.0425393134828,0.0213154358974
0.0415603204832,0.0118386923077
0.0510232807543,0.0129007
0.072659366777,0.0117434782609
0.0848503256724,0.0171069
0.0649559528436,0.0201348076923
0.0723839147691,0.00883107692308
0.0474747686416,0.00979857575758
0.0472698785658,0.0108434193548
0.076188994946,0.01273672
0.0313445517341,0.0201676538462
0.0454936627156,0.0242387692308
0.0511352348359,0.0134642666667
0.0479590290814,0.0164263142857
0.089848269322,0.008347
0.0560749704341,0.0136369583333
0.0530579343746,0.0145126
0.086418435933,0.0110901538462
0.049189456212,0.0162626538462
0.0737227337282,0.0139900769231
0.0905225691265,0.0113885652174
0.0702205751345,0.00808025641026
0.0510723425654,0.0127977692308
0.0494197342933,0.0142507037037
0.0589674081539,0.0175852258065
0.0637462112276,0.0131790810811
0.0632373186978,0.0140931785714
0.0478339121627,0.013008
0.0796291911066,0.0124418666667
0.0541567842537,0.01217428
0.0824194352595,0.0113095
0.0622521680655,0.01085984
0.0650717683523,0.013217275
0.0503509521959,0.0138498148148
0.0720605736997,0.00906033333333
0.0833692725123,0.0113865483871
0.0656786745706,0.01360234375
0.0642846329887,0.0114615121951
0.137012987013,0.00809121428571
0.0982316750719,0.0116139666667
0.0588473635416,0.0140091666667
0.0797518763449,0.0103575555556
0.0519919002253,0.0173899090909
0.0719211469534,0.0105403103448
0.0543909260484,0.0152154583333
0.0407834101382,0.00999909375
0.0591222769494,0.00975977777778
0.0419426953002,0.0581752916667
0.058391423179,0.00897219230769
0.0566914730706,0.00749868
0.0557387498564,0.00801097368421
0.0321313931569,0.0207175

5-Fold RMSE:,0.00280686446324,0.00425237660711,0.0117095932113,0.00228114784401,0.00228114784401
Average 5-Fold RMSE:,0.00485377049937

5-Fold rsquared:,-0.166261720512,0.165158475537,0.0393091848065,0.0884156853643,0.0884156853643
Average 5-Fold rsquared:,0.138578923814
