voronoi_edges,transError.mean.std
264,0.128810550931
288,0.0626106276575
178,0.0363222141704
61,0.0240230927776
92,0.0231752964896
229,0.12471567563
404,0.118403445404
305,0.105974371826
171,0.0468835943002
112,0.0525575836354
104,0.0652650350355
82,0.0380406378831
80,0.048698079138
114,0.0465531383268
85,0.015699391456
69,0.0795487657361
234,0.0609893108178
297,0.0634488000674
285,0.121656676099
159,0.108765944747
449,0.116482183881
257,0.123971354033
210,0.117014135854
337,0.093854286797
147,0.0949115380575
155,0.113382526137
85,0.0940625752148
253,0.143229486163
220,0.0476951664389
292,0.0815122877936
287,0.0482871281887
189,0.109859637786
562,0.0815752280843
437,0.0639775660122
303,0.0966037993107
356,0.130209711384
75,0.0344430098623
216,0.0825251437691
235,0.0787229033116
104,0.0703616797672
320,0.136893046155
321,0.131748844655
128,0.0638479804609
211,0.0832238780337
279,0.112655965246
315,0.0882750414235
193,0.0630703094014
255,0.0904968358626
175,0.0844506183324
282,0.0812632064472
142,0.0478290808047
190,0.0665534059179
146,0.063039235743
265,0.0862053699096
170,0.0951669768786
263,0.0936298052555
166,0.083845172989
192,0.067525357097
172,0.0711609699581
166,0.0754858045801
24,0.0666286445176
123,0.06593977187
253,0.119219125795
145,0.060063217006
246,0.0967598598958
125,0.0600886637503
232,0.103345628507
295,0.0960266591481
214,0.0554747715395
469,0.117509395197
195,0.0976733690521
248,0.0490437767207
226,0.0852449136299
651,0.18024925237

5-Fold RMSE:,0.0235493755859,0.029268695919,0.0299419427711,0.0249084948926,0.0249084948926
Average 5-Fold RMSE:,0.0271303849907

5-Fold rsquared:,0.422432480804,-0.112410784005,0.179535615875,0.316372087621,0.316372087621
Average 5-Fold rsquared:,0.234589330134
