voronoi_nodes,rotError.numSamples.mean
640,8502.88888889
462,4291.20833333
256,5073.26086957
246,2208.2
175,533.736842105
60,281.035714286
93,375.75
223,3820.06451613
395,4729.04166667
291,3357.30434783
163,1109.95652174
113,244.540540541
105,830.8
81,180.0
81,450.733333333
115,457.388888889
85,628.1
70,954.971428571
228,914.034482759
289,2059.76470588
278,8900.875
156,2142.7826087
431,9951.88235294
244,5881.21428571
201,3028.03571429
337,12817.0714286
140,2496.67647059
154,8121.34782609
85,2459.1
250,3998.88235294
221,716.857142857
285,843.47826087
283,3702.36363636
190,6648.12
530,4365.44444444
427,4280.06666667
301,1701.35294118
350,3879.09375
76,189.695652174
215,1054.375
230,2765.85185185
105,1206.76923077
316,6532.5
295,3173.27272727
129,2456.83333333
211,2281.8
278,6061.31034483
301,8307.2
189,2598.6
229,3927.24390244
174,1492.89285714
272,3379.41666667
143,655.766666667
183,964.583333333
146,1611.27777778
263,3842.36
170,1384.0
250,3280.36666667
159,2484.47619048
191,1119.77419355
172,581.0
166,510.341463415
22,1274.18518519
124,1420.46666667
253,4234.0625
146,754.666666667
243,3208.20833333
126,407.793103448
229,2487.5
281,2474.48571429
215,609.074074074
194,2976.25
246,461.08
222,1971.81578947

5-Fold RMSE:,2815.23567093,880.442786616,2477.76512685,2515.28088579,2515.28088579
Average 5-Fold RMSE:,1973.06632777

5-Fold rsquared:,0.308819999331,0.136022096469,0.489794762794,0.13446200474,0.13446200474
Average 5-Fold rsquared:,0.305349862436
