voronoi_avg_betweenness_centrality,transError.numSamples.mean
0.0321313931569,8502.88888889
0.0419426953002,4291.20833333
0.0453083989501,5073.26086957
0.0506431441029,2208.2
0.0688565543818,533.736842105
0.0824956165985,281.035714286
0.0912411571598,375.75
0.0512248343955,3820.06451613
0.0385499044432,4729.04166667
0.0533682183273,3357.30434783
0.0847704008547,1109.95652174
0.101026753682,244.540540541
0.100138696255,830.8
0.0960540709486,180.0
0.0959134239725,450.733333333
0.0856861275929,457.388888889
0.0833181465357,628.1
0.112872975277,954.971428571
0.0679895520642,914.034482759
0.0467709082677,2059.76470588
0.055920167335,8900.875
0.0682366021076,2142.7826087
0.0536409255235,9951.88235294
0.0538211780553,5881.21428571
0.0425393134828,3028.03571429
0.0415603204832,12817.0714286
0.0510232807543,2496.67647059
0.072659366777,8121.34782609
0.0848503256724,2459.1
0.0649559528436,3998.88235294
0.0723839147691,716.857142857
0.0474747686416,843.47826087
0.0472698785658,3702.36363636
0.076188994946,6648.12
0.0313445517341,4365.44444444
0.0454936627156,4280.06666667
0.0511352348359,1701.35294118
0.0479590290814,3879.09375
0.089848269322,189.695652174
0.0560749704341,1054.375
0.0530579343746,2765.85185185
0.086418435933,1206.76923077
0.049189456212,6532.5
0.0737227337282,3173.27272727
0.0905225691265,2456.83333333
0.0702205751345,2281.8
0.0510723425654,6061.31034483
0.0494197342933,8307.2
0.0589674081539,2598.6
0.0637462112276,3927.24390244
0.0632373186978,1492.89285714
0.0478339121627,3379.41666667
0.0796291911066,655.766666667
0.0541567842537,964.583333333
0.0824194352595,1611.27777778
0.0622521680655,3842.36
0.0650717683523,1384.0
0.0503509521959,3280.36666667
0.0720605736997,2484.47619048
0.0833692725123,1119.77419355
0.0656786745706,581.0
0.0642846329887,510.341463415
0.137012987013,1274.18518519
0.0982316750719,1420.46666667
0.0588473635416,4234.0625
0.0797518763449,754.666666667
0.0519919002253,3208.20833333
0.0719211469534,407.793103448
0.0543909260484,2487.5
0.0407834101382,2474.48571429
0.0591222769494,609.074074074
0.058391423179,2976.25
0.0566914730706,461.08
0.0557387498564,1971.81578947

5-Fold RMSE:,1727.81996343,1753.85365185,2701.75717305,2276.9626561,2276.9626561
Average 5-Fold RMSE:,2251.58821419

5-Fold rsquared:,0.144979467522,-1.66830995275,0.139918434643,0.238897526233,0.238897526233
Average 5-Fold rsquared:,-0.171730660677
