voronoi_avg_shortest_path_length,transError.numSamples.std
12.5083333333,4496.65449768
13.3569271611,1068.57195671
12.912183908,257.853455343
5.78474576271,141.850142792
9.30294530154,182.929460449
12.3206884014,2244.05747734
16.1501124462,3935.77212331
16.4234150966,2874.5710625
14.6480345376,363.803157271
12.2139696587,147.306005198
11.3142857143,2626.374729
8.58827160494,108.084781537
8.57716049383,1084.0791156
10.682532418,180.818284498
7.91540616246,273.731419461
8.67536231884,642.991734482
16.3656387665,702.453163625
14.4232506728,1510.28589149
16.4339661845,14872.7918784
11.5084367246,720.79837633
24.0119570496,9225.92445392
14.0247250894,3023.39259484
9.46532338308,2651.41884337
14.9227073619,24043.8800652
8.04121274409,1616.41335473
12.0442237501,8919.29941979
8.04257703081,1725.55951023
17.1090763052,1863.36560045
16.8520773344,624.17813537
14.4353595256,620.469279434
14.282835877,857.003410118
15.3235310498,5103.87888822
17.5499233156,1966.19530209
20.3348066541,1057.23261059
16.2894352159,1483.83345876
17.6897421203,3961.17166175
7.64877192982,165.786311893
12.9439687025,2139.14201672
13.0972090374,1428.99660238
9.9010989011,968.189122803
16.4454892506,5433.37490878
22.6007609824,3842.62601996
12.4963662791,1817.05743137
15.6761002031,691.528513091
15.0959665481,8506.08116752
15.7765005537,3722.68290681
12.0269053248,1936.04140841
15.4703899487,4393.41939757
11.876818816,1687.4634671
13.9151562839,2072.14962693
12.227715946,383.599850828
10.8023779499,786.667567909
12.8683986774,1917.94562562
17.2478158651,2174.75877982
11.9320570832,748.389444073
13.4870361446,2608.69783514
12.3135100709,1354.24201138
16.7567925048,490.102011085
12.165374677,432.474999277
11.5426798101,473.088895362
3.74025974026,597.094712473
12.9842643588,1136.24840985
15.7706882489,3100.93252085
12.4842701937,803.781894131
13.5300479543,1700.53022844
9.91822222222,316.936671506
13.346740213,2065.32399555
12.3785714286,1024.40711512
13.5930449902,350.849437575
20.2936398381,3504.51641908
12.2111532504,2631.23148885
14.8327194292,257.78020405
13.2625249684,1433.91482635
21.4998288341,4268.01882728

5-Fold RMSE:,1213.4995343,1647.2341098,1895.68627221,1993.56398607,1993.56398607
Average 5-Fold RMSE:,2751.30896427

5-Fold rsquared:,-0.196825769112,0.0453351142128,0.201432965887,0.0635129254513,0.0635129254513
Average 5-Fold rsquared:,-0.00802174534533
